accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
213.63392281532288,0.0,113.68065071105956,1,0,113.68065071105956,0.0011,6.92587734375,10000.0,327.9355049133301,0.0010562818877551,6.922291658362564,0.00092,6.922249375,50000.0
317.06678438186646,0.0318050384521484,622.3135361671448,1390,0,622.3135361671448,0.1321,4.7136265625,10000.0,942.4978921413422,0.2183713329081632,4.124478087133291,0.19516,4.231505625,50000.0
423.206725358963,0.0757644176483154,1130.8682870864868,2780,0,1130.8682870864868,0.2842,3.6429515625,10000.0,1559.6488885879517,0.4264987244897959,2.82647705078125,0.39184,2.9950078125,50000.0
525.8916313648224,0.1366870403289795,1639.5600423812866,4171,0,1639.5600423812866,0.3686,3.1695580078125,10000.0,2173.4922258853912,0.5379264987244898,2.297050008968431,0.48954,2.50717015625,50000.0
622.6224210262299,0.1681323051452636,2148.236015319824,5562,0,2148.236015319824,0.391,3.113278515625,10000.0,2781.380897283554,0.5593311543367347,2.236050975566008,0.50406,2.48752609375,50000.0
724.3375098705292,0.2062733173370361,2656.9268214702606,6954,0,2656.9268214702606,0.3721,3.31808046875,10000.0,3394.2099997997284,0.5385243941326531,2.494986242177536,0.48484,2.74845,50000.0
819.819910287857,0.2405836582183838,3165.376105546952,8344,0,3165.376105546952,0.3097,3.873332421875,10000.0,4000.555039644241,0.4534438775510204,3.141475132533482,0.40492,3.382696875,50000.0
920.3583879470824,0.2953348159790039,3673.823203086853,9734,0,3673.823203086853,0.1438,5.13666640625,10000.0,4612.035692453384,0.2037627551020408,4.645834786551339,0.18106,4.8394621875,50000.0
1017.9373211860656,0.3342807292938232,4182.491998672485,11126,0,4182.491998672485,0.0716,5.9220359375,10000.0,5220.743140697479,0.0986726721938775,5.549431002869898,0.08688,5.682368125,50000.0
1120.869380235672,0.3631927967071533,4691.015701770783,12514,0,4691.015701770783,0.0117,6.95056328125,10000.0,5834.714842557907,0.014110331632653,6.782842519331951,0.013,6.83586625,50000.0
1224.9058253765106,0.3974192142486572,5199.480160951614,13902,0,5199.480160951614,0.0044,7.37739296875,10000.0,6449.753111362457,0.0051020408163265,7.254263118821747,0.00498,7.2951325,50000.0
1330.2741990089417,0.4286203384399414,5708.192696094513,15273,0,5708.192696094513,0.0016,7.754728125,10000.0,7066.168038606644,0.001773756377551,7.66618876554528,0.00134,7.6766875,50000.0
1434.6880745887756,0.4656357765197754,6216.773644924164,16664,0,6216.773644924164,0.0007,11.97033125,10000.0,7681.599102735519,0.001773756377551,11.589767767458548,0.00184,11.539355,50000.0
1533.1258220672607,0.4989655017852783,6725.41660618782,18055,0,6725.41660618782,0.0017,15.739596875,10000.0,8291.110307455063,0.001594387755102,15.23832484654018,0.00144,15.1481425,50000.0
1635.0565774440763,0.5581958293914795,7234.091679811478,19445,0,7234.091679811478,0.0445,5.7681421875,10000.0,8904.192970514297,0.0692960778061224,5.4796958456234055,0.06808,5.524793125,50000.0
1733.110463142395,0.5871319770812988,7742.733649730682,20834,0,7742.733649730682,0.1611,4.5145765625,10000.0,9513.297347784042,0.2579121492346938,3.873114761041135,0.23464,3.991145625,50000.0
1834.6053228378296,0.6606166362762451,8251.181639909744,22222,0,8251.181639909744,0.2636,3.75522890625,10000.0,10125.756770133972,0.411312181122449,2.916789774992028,0.37718,3.09227,50000.0
1931.1751334667208,0.6929998397827148,8759.819842100143,23611,0,8759.819842100143,0.3274,3.38872578125,10000.0,10733.334190368652,0.4863879145408163,2.549614575444436,0.44538,2.73970125,50000.0
2036.2676281929016,0.7232928276062012,9268.30173754692,24999,0,9268.30173754692,0.3672,3.179429296875,10000.0,11349.330934762957,0.5388432716836735,2.308789467325016,0.4918,2.5377778125,50000.0
2139.343412399292,0.75215744972229,9776.742746829988,26384,0,9776.742746829988,0.3689,3.2405513671875,10000.0,11963.410915851591,0.5447026466836735,2.3334629292390785,0.49214,2.59675078125,50000.0
2244.9513533115387,0.7807443141937256,10285.277722120283,27774,0,10285.277722120283,0.3776,3.3589640625,10000.0,12579.987418174744,0.5508808992346939,2.497683155293368,0.49256,2.7618571875,50000.0
2348.313133716584,0.8096086978912354,10793.85713171959,29164,0,10793.85713171959,0.3447,3.61887421875,10000.0,13194.385712623596,0.5173788265306123,2.7422444869060905,0.4564,3.0335190625,50000.0
2448.415556907654,0.8440768718719482,11302.499879837036,30554,0,11302.499879837036,0.2978,3.92734453125,10000.0,13805.567903280258,0.4570511798469387,3.0627609564333547,0.40144,3.3479971875,50000.0
2550.5560076236725,0.9079654216766356,11810.953411102297,31945,0,11810.953411102297,0.3158,3.81451796875,10000.0,14418.57918858528,0.4683713329081632,3.0205862862723216,0.4167,3.295220625,50000.0
2648.4278421401978,0.9370017051696776,12319.606951236725,33335,0,12319.606951236725,0.2153,4.59911640625,10000.0,15027.60828256607,0.3161870216836734,3.994329024334343,0.2808,4.221858125,50000.0
2750.087908267975,1.0016241073608398,12828.132269382477,34725,0,12828.132269382477,0.1518,5.155690234375,10000.0,15640.244747638702,0.2337372448979592,4.518210274832589,0.20762,4.73607875,50000.0
2845.235129594803,1.028531789779663,13336.611956834791,36116,0,13336.611956834791,0.0928,5.76550859375,10000.0,16246.326139211656,0.142398756377551,5.177460962412309,0.12498,5.37083,50000.0
2951.343428850174,1.0638747215270996,13845.19383597374,37506,0,13845.19383597374,0.0433,6.49048984375,10000.0,16863.42880797386,0.0598094706632653,6.041667704679528,0.05118,6.19726,50000.0
