accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ssim,total_duration,train/loss,train/ssim,validation/loss,validation/num_examples,validation/ssim
243.5537297725677,0.0,151.50293040275574,1,0,151.50293040275574,0.4285876400075921,3581.0,0.5782160840198268,395.607990026474,0.4148188659123012,0.5760126113891602,0.4282577935402891,3554.0,0.5556630320809299
249.8455889225006,0.0338656902313232,245.3033509254456,5,0,245.3033509254456,0.3284132509250209,3581.0,0.6979124851647585,496.7167458534241,0.3115791593279157,0.7005350930350167,0.3273068129110685,3554.0,0.6789227916608047
256.0805208683014,0.0794248580932617,329.29477071762085,8,0,329.29477071762085,0.3124504355670553,3581.0,0.714041787930222,587.8765196800232,0.2953080790383475,0.7176386288234166,0.3106025519770857,3554.0,0.6962941459007457
262.29674673080444,0.1120591163635253,415.2619080543518,11,0,415.2619080543518,0.309914536464151,3581.0,0.7165344630297054,680.9854152202606,0.2927795818873814,0.7201345988682338,0.307934350489765,3554.0,0.6989691138066263
268.3630292415619,0.1472246646881103,503.62248039245605,15,0,503.62248039245605,0.3026754021877618,3581.0,0.7228101929017733,776.4290521144867,0.2855609144483294,0.7266139984130859,0.3007888407538161,3554.0,0.7054874761492332
274.7525224685669,0.1904730796813964,590.0048592090607,19,0,590.0048592090607,0.29840682731997,3581.0,0.7279211926879713,870.1766602993011,0.2810357979365757,0.7323273250034877,0.2966509868941685,3554.0,0.7106802387055079
280.7269284725189,0.2172975540161132,676.7281591892242,23,0,676.7281591892242,0.2972212351756667,3581.0,0.7282737342048311,963.7732639312744,0.2798234564917428,0.7328340666634696,0.2954255781887486,3554.0,0.711219628741383
286.8270688056946,0.2419629096984863,763.73344373703,27,0,763.73344373703,0.2949953012644862,3581.0,0.7317210189192963,1057.7951021194458,0.2776856592723301,0.7359952926635742,0.2933401817274549,3554.0,0.7144824163794317
292.81049823760986,0.2660951614379883,849.8853962421417,31,0,849.8853962421417,0.2943251928581402,3581.0,0.7329865822875943,1150.8401172161102,0.2766225337982178,0.7377728053501674,0.2927110421905775,3554.0,0.7157555334877954
298.75043869018555,0.2900350093841553,935.601930618286,35,0,935.601930618286,0.2941764654709753,3581.0,0.732624768744764,1243.471756219864,0.2765877246856689,0.7375828198024205,0.2925468277381119,3554.0,0.7154713439082724
304.71019220352173,0.3147616386413574,1022.224967956543,39,0,1022.224967956543,0.2924229958243158,3581.0,0.7352589785936191,1336.9646863937378,0.2751525470188686,0.7397362845284599,0.2908845213469858,3554.0,0.7180476663618458
310.6597445011139,0.3402848243713379,1108.4114112854004,43,0,1108.4114112854004,0.2932246510991169,3581.0,0.7347665385672647,1430.0793936252594,0.2754894835608346,0.7396610123770577,0.2915457756115469,3554.0,0.7176343996201463
316.6339898109436,0.364516019821167,1195.018653869629,47,0,1195.018653869629,0.2924538457636659,3581.0,0.735861523928372,1523.5786731243134,0.2748209067753383,0.7406681605747768,0.290949266011888,3554.0,0.7186038178812606
322.60784435272217,0.3900659084320068,1281.5906157493591,51,0,1281.5906157493591,0.2923665455485548,3581.0,0.7358948623158684,1617.1239943504331,0.2747243642807007,0.7408569880894252,0.2909036184470843,3554.0,0.7186383025728053
328.4701178073883,0.4148626327514648,1368.11421751976,55,0,1368.11421751976,0.291953497244572,3581.0,0.7361534563931165,1710.528608083725,0.2742654596056257,0.7410892759050641,0.2904358425365785,3554.0,0.7189411770847988
334.67192363739014,0.4420862197875976,1453.625117778778,59,0,1453.625117778778,0.2908387406516162,3581.0,0.7370073690789933,1803.181663274765,0.2731801952634539,0.7418845040457589,0.2893198299890968,3554.0,0.7197658558138716
340.62708020210266,0.4668693542480469,1539.7363765239716,63,0,1539.7363765239716,0.2930693787524434,3581.0,0.7348196481866098,1896.169026374817,0.2753198657717023,0.7398804937090192,0.2915446078032674,3554.0,0.7176144094901871
346.62527203559875,0.4916999340057373,1627.4426193237305,67,0,1627.4426193237305,0.2912297338055885,3581.0,0.7358341169104301,1990.761783361435,0.2738198723111834,0.7397485460553851,0.2897056875835326,3554.0,0.718972020962296
352.5684769153595,0.5172908306121826,1713.8074049949646,71,0,1713.8074049949646,0.2913186020839151,3581.0,0.7368940594675021,2084.0521092414856,0.2737467629568917,0.7416296686444964,0.2897254029350731,3554.0,0.7197512925576814
358.7352993488312,0.5426986217498779,1799.7892758846283,75,0,1799.7892758846283,0.2912757871404635,3581.0,0.7368877190379782,2177.200721263885,0.2737441062927246,0.7417166573660714,0.289822777537194,3554.0,0.7197535594796356
364.7647831439972,0.5685124397277832,1886.621562719345,79,0,1886.621562719345,0.2898830061217188,3581.0,0.7390344657567719,2270.9689421653748,0.27213830607278,0.7439649445669991,0.2884757793815067,3554.0,0.7218205114395752
370.7748591899872,0.593705415725708,1973.4480226039889,83,0,1973.4480226039889,0.2897868770289374,3581.0,0.7384135127234013,2364.749538660049,0.2717964138303484,0.7436172621590751,0.2883166826770892,3554.0,0.7212480106042487
376.81968927383423,0.6182918548583984,2059.903152942657,87,0,2059.903152942657,0.2897923311618612,3581.0,0.7379760230862539,2458.163856506348,0.2722303697041103,0.7427730560302734,0.2883294255262556,3554.0,0.7207631640844823
382.88274669647217,0.6435930728912354,2146.7047913074493,91,0,2146.7047913074493,0.2893412402807351,3581.0,0.7391391169322465,2551.938897132873,0.2717183828353882,0.7440750258309501,0.2879707366479671,3554.0,0.7218510805386537
