global_step,grad_norm,loss,lr,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.2802534,0.45076406,0.0,,,,,,,,,,,
1,,,,0.4512913987602828,0.4562988594800929,83274637.0,0.4528385223273026,95000000.0,25.085623264312744,881.7746067047119,25.085623264312744,856.6889417171478,0.0,0.0
45,,,,0.1375752624311724,0.1384657918910006,83274637.0,0.1419225381167763,95000000.0,145.52486634254456,1676.0305936336515,145.52486634254456,1530.4758837223053,0.0276689529418945,0.0
89,,,,0.127901106053647,0.1312657067842615,83274637.0,0.1339030345497533,95000000.0,266.0027804374695,2459.695747852325,266.0027804374695,2193.636090517044,0.0527088642120361,0.0
100,0.016582519,0.12581415,0.0013464112,,,,,,,,,,,
133,,,,0.1302497761335762,0.1299583388302363,83274637.0,0.1327990618421052,95000000.0,386.5030264854431,3211.171171665192,386.5030264854431,2824.5866882801056,0.0753066539764404,0.0
177,,,,0.12539948223147,0.1290023948178355,83274637.0,0.1314994686472039,95000000.0,506.8124835491181,3969.4717543125153,506.8124835491181,3462.555643320084,0.0956192016601562,0.0
200,0.0124833295,0.12993434,0.0014269168,,,,,,,,,,,
221,,,,0.1284041324595235,0.1282472861302351,83274637.0,0.1307079328741776,95000000.0,627.3876569271088,4708.658539056778,627.3876569271088,4081.145009040833,0.1159193515777587,0.0
265,,,,0.1266157050740044,0.1279797206825786,83274637.0,0.1304911323807565,95000000.0,747.937709569931,5396.018512964249,747.937709569931,4647.919715166092,0.1490936279296875,0.0
300,0.05103871,0.123650186,0.0014260077,,,,,,,,,,,
309,,,,0.1295925971448609,0.1277676393721476,83274637.0,0.1304557619346217,95000000.0,868.3322229385376,6032.405740737915,868.3322229385376,5163.889380455017,0.170170783996582,0.0
353,,,,0.1267295729884374,0.1278798361095302,83274637.0,0.13035690703125,95000000.0,988.7094736099244,6705.56427025795,988.7094736099244,5716.64803981781,0.1908080577850341,0.0
397,,,,0.1257941635712137,0.1273219883071773,83274637.0,0.1298295491776316,95000000.0,1109.2008333206177,7383.091059923172,1109.2008333206177,6273.660857200623,0.2115051746368408,0.0
400,0.023334816,0.124434784,0.0014244681,,,,,,,,,,,
441,,,,0.127344658399153,0.1271362808076733,83274637.0,0.1296115089124177,95000000.0,1229.770430803299,8068.914160251617,1229.770430803299,6838.890966415405,0.2330305576324463,0.0
485,,,,0.125545650685452,0.1268561681043131,83274637.0,0.1292143244346217,95000000.0,1350.2504270076752,8730.289356470108,1350.2504270076752,7379.760067939758,0.25710129737854,0.0
500,0.007157255,0.12635744,0.0014222993,,,,,,,,,,,
529,,,,0.1260543670036695,0.1269041081152881,83274637.0,0.1292027724403782,95000000.0,1470.6120765209198,9398.190224170685,1470.6120765209198,7927.2766456604,0.2779109477996826,0.0
573,,,,0.1247270755329222,0.126647992240019,83274637.0,0.128990856692023,95000000.0,1590.9447491168976,10027.99305820465,1590.9447491168976,8436.72446846962,0.2983291149139404,0.0
600,0.059298296,0.12632513,0.0014195034,,,,,,,,,,,
617,,,,0.1279232595350195,0.1265863325772437,83274637.0,0.1288249822779605,95000000.0,1711.4718198776245,10654.552678585052,1711.4718198776245,8942.734505176544,0.3189384937286377,0.0
661,,,,0.1274313075971678,0.1261827494340822,83274637.0,0.1285560815583881,95000000.0,1831.7809615135195,11272.99905872345,1831.7809615135195,9440.847558021544,0.341214656829834,0.0
700,0.020336531,0.12448902,0.0014160826,,,,,,,,,,,
