global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.487495,0.7588706,0.0,,,,,,,,,,,,,,,,,
1,,,,0.5106409192085266,0.7577958106994629,0.0214936594935633,0.4977415204048157,0.7659939527511597,0.0249178800792784,43793.0,0.4956875741481781,0.7675337195396423,0.026396053630294,43793.0,20.59812092781067,326.19823265075684,20.59812092781067,305.6000690460205,0.0,0.0
1,1.4666728,0.75519216,1.7840648e-06,,,,,,,,,,,,,,,,,
2,1.5011493,0.7552327,3.5680132e-06,,,,,,,,,,,,,,,,,
3,1.4995735,0.7503583,5.352078e-06,,,,,,,,,,,,,,,,,
4,1.5089681,0.74880815,7.1360264e-06,,,,,,,,,,,,,,,,,
5,1.5038092,0.7394683,8.919975e-06,,,,,,,,,,,,,,,,,
6,1.498631,0.72947526,1.0703923e-05,,,,,,,,,,,,,,,,,
7,1.4768151,0.7197297,1.2487988e-05,,,,,,,,,,,,,,,,,
8,1.4330338,0.70944226,1.4271936e-05,,,,,,,,,,,,,,,,,
9,1.4096457,0.69875443,1.6056001e-05,,,,,,,,,,,,,,,,,
10,1.3558958,0.687832,1.783995e-05,,,,,,,,,,,,,,,,,
11,1.2972487,0.6776838,1.9624014e-05,,,,,,,,,,,,,,,,,
12,1.2442893,0.6646044,2.1407963e-05,,,,,,,,,,,,,,,,,
13,1.1809765,0.6532003,2.3191911e-05,,,,,,,,,,,,,,,,,
14,1.1321785,0.6418645,2.497586e-05,,,,,,,,,,,,,,,,,
15,1.0796548,0.63104695,2.6759924e-05,,,,,,,,,,,,,,,,,
16,1.0079745,0.6224899,2.8543873e-05,,,,,,,,,,,,,,,,,
17,0.9634888,0.61010444,3.0327938e-05,,,,,,,,,,,,,,,,,
18,0.9030398,0.6028591,3.2111886e-05,,,,,,,,,,,,,,,,,
19,0.8611333,0.5934274,3.389595e-05,,,,,,,,,,,,,,,,,
20,0.8067464,0.5846027,3.56799e-05,,,,,,,,,,,,,,,,,
21,0.780813,0.5771808,3.7463848e-05,,,,,,,,,,,,,,,,,
22,0.754967,0.569326,3.9247796e-05,,,,,,,,,,,,,,,,,
23,0.72748244,0.5647898,4.103186e-05,,,,,,,,,,,,,,,,,
24,0.7053251,0.5608305,4.281581e-05,,,,,,,,,,,,,,,,,
25,0.68704534,0.5529092,4.4599874e-05,,,,,,,,,,,,,,,,,
26,0.6677555,0.5472716,4.638394e-05,,,,,,,,,,,,,,,,,
27,0.6576041,0.5419138,4.8167887e-05,,,,,,,,,,,,,,,,,
28,0.6367197,0.5356744,4.9951836e-05,,,,,,,,,,,,,,,,,
29,0.6270712,0.5285513,5.17359e-05,,,,,,,,,,,,,,,,,
30,0.6110515,0.52340055,5.351985e-05,,,,,,,,,,,,,,,,,
