global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
78,0.025305508,0.06500338,0.019000769,,,,,,,,,,,,,,,,,
79,0.024688553,0.061561465,0.019244313,,,,,,,,,,,,,,,,,
80,0.023601074,0.061600603,0.019487977,,,,,,,,,,,,,,,,,
81,0.025751002,0.06140207,0.019731522,,,,,,,,,,,,,,,,,
82,0.024618166,0.0662064,0.019975066,,,,,,,,,,,,,,,,,
83,0.027693888,0.07002494,0.02021873,,,,,,,,,,,,,,,,,
84,0.027285982,0.06983895,0.020462394,,,,,,,,,,,,,,,,,
85,0.02783668,0.06885286,0.020705938,,,,,,,,,,,,,,,,,
86,0.031143157,0.06930262,0.020949483,,,,,,,,,,,,,,,,,
87,0.02577373,0.06346471,0.021193147,,,,,,,,,,,,,,,,,
88,0.02354721,0.06455135,0.021436691,,,,,,,,,,,,,,,,,
89,0.0245295,0.067061566,0.021680355,,,,,,,,,,,,,,,,,
90,0.022414893,0.064868554,0.021924019,,,,,,,,,,,,,,,,,
91,0.028402997,0.0696746,0.022167563,,,,,,,,,,,,,,,,,
92,0.022335138,0.064037815,0.022411108,,,,,,,,,,,,,,,,,
93,0.022600085,0.06601432,0.022654772,,,,,,,,,,,,,,,,,
94,0.01995671,0.058842126,0.022898316,,,,,,,,,,,,,,,,,
95,0.024226084,0.069016956,0.023141861,,,,,,,,,,,,,,,,,
96,0.024216523,0.06826566,0.023385525,,,,,,,,,,,,,,,,,
97,0.025849065,0.07060123,0.023629189,,,,,,,,,,,,,,,,,
98,0.020231124,0.059114564,0.023872733,,,,,,,,,,,,,,,,,
99,0.022745358,0.06675375,0.024116278,,,,,,,,,,,,,,,,,
760,,,,0.9866625666618348,0.0563904009759426,0.0251634213546319,0.9841179251670836,0.0662710145115852,0.0278585726219893,43793.0,0.983142077922821,0.069758117198944,0.0292411725033198,43793.0,259.6377809047699,681.6503026485443,259.6377809047699,421.9569268226624,0.0356991291046142,0.0
1523,,,,0.986850917339325,0.0554392449557781,0.0256679718486134,0.9841179251670836,0.0658904910087585,0.0276262303119825,43793.0,0.983142077922821,0.0693464279174804,0.0300170448992844,43793.0,499.7281813621521,1041.502244234085,499.7281813621521,541.6710855960846,0.0628039836883544,0.0
2280,,,,0.9866482615470886,0.0564019531011581,0.0271456514245618,0.9841179251670836,0.065971739590168,0.0286657078392575,43793.0,0.983142077922821,0.0694333016872406,0.0300771876791428,43793.0,739.7256498336792,1402.418446779251,739.7256498336792,662.5373368263245,0.095205545425415,0.0
3038,,,,0.986907720565796,0.0552249662578105,0.0269712490079333,0.9841179251670836,0.0658943727612495,0.0284529248911942,43793.0,0.983142077922821,0.0693110153079032,0.0305056353857721,43793.0,979.7423357963562,1766.460347890854,979.7423357963562,786.5149903297424,0.1223132610321044,0.0
3790,,,,0.98672753572464,0.0561236999928951,0.0265474882392171,0.9841179251670836,0.0660436227917671,0.0282648172776961,43793.0,0.983142077922821,0.0694889426231384,0.0296454190202723,43793.0,1219.9608762264252,2131.3523032665253,1219.9608762264252,911.1409778594972,0.1495475769042968,0.0
4544,,,,0.9867115020751952,0.0560228936374187,0.0286432965923388,0.9841179251670836,0.0660722851753234,0.0290159749676984,43793.0,0.983142077922821,0.0695120096206665,0.0301479836568235,43793.0,1460.1194169521332,2496.4543793201447,1460.1194169521332,1036.0362963676453,0.1777324676513672,0.0
5326,,,,0.9866093397140504,0.0547712743282318,0.0340950920646509,0.9841179251670836,0.0642867758870124,0.038598510810611,43793.0,0.983142077922821,0.0676091834902763,0.0400496814036752,43793.0,1700.311631679535,2860.6839118003845,1700.311631679535,1160.026266336441,0.2042126655578613,0.0
6106,,,,0.986845076084137,0.0520645081996917,0.0485271456701904,0.9841179251670836,0.0620210617780685,0.0479825254537824,43793.0,0.983142077922821,0.0653714910149574,0.0504869149782993,43793.0,1940.5646460056305,3225.70325255394,1940.5646460056305,1284.7427623271942,0.2334463596343994,0.0
6874,,,,0.9868395328521729,0.0497720055282115,0.0799969356903174,0.984214961528778,0.0595910251140594,0.0811737120067449,43793.0,0.983226716518402,0.0628126189112663,0.0794886007013497,43793.0,2180.836539745331,3591.0389816761017,2180.836539745331,1409.7597477436066,0.2598934173583984,0.0
7646,,,,0.9868249297142028,0.0511718727648258,0.0620849630253582,0.984223484992981,0.060951892286539,0.0673835371583145,43793.0,0.9832503199577332,0.0643098652362823,0.0694296851065634,43793.0,2420.8688049316406,3954.5021533966064,2420.8688049316406,1533.143277168274,0.2866497039794922,0.0
8416,,,,0.9868000745773317,0.0494641400873661,0.082591890009147,0.9842368960380554,0.0588163696229457,0.0865926343486849,43793.0,0.9832629561424256,0.062190156430006,0.0848306954560052,43793.0,2660.9152572155,4320.219028949738,2660.9152572155,1658.7662122249603,0.3136484622955322,0.0
9183,,,,0.9868040084838868,0.0497216917574405,0.0786998204197434,0.9842502474784852,0.0587979517877101,0.0816081161481581,43793.0,0.9832823276519777,0.0619050487875938,0.0797517191033694,43793.0,2900.956380367279,4683.410485267639,2900.956380367279,1781.8684511184692,0.3410334587097168,0.0
9948,,,,0.9871791005134584,0.0475389175117015,0.0926121001209372,0.98445326089859,0.0565984398126602,0.0975551129728073,43793.0,0.9834781885147096,0.0597905963659286,0.095538790742515,43793.0,3140.9905667305,5048.523826599121,3140.9905667305,1906.899067401886,0.3691637516021728,0.0
10718,,,,0.9872676730155944,0.0469254404306411,0.1039146353393684,0.9844909906387328,0.056348942220211,0.1014319749894901,43793.0,0.9835299849510192,0.0595264546573162,0.1018657112681708,43793.0,3381.020577430725,5412.711490392685,3381.020577430725,2031.0073268413544,0.3980817794799804,0.0
11489,,,,0.9871442914009094,0.0483329892158508,0.0901923311786202,0.9843907356262208,0.057667326182127,0.0913287396986076,43793.0,0.9834229946136476,0.060853362083435,0.0932547692523949,43793.0,3621.1915509700775,5780.932663202286,3621.1915509700775,2159.0066623687744,0.4284000396728515,0.0
12262,,,,0.987237513065338,0.0459953434765338,0.1165161438255618,0.9846882820129396,0.0548696555197238,0.1158331199508351,43793.0,0.9836769700050354,0.0580420605838298,0.1152122589628292,43793.0,3861.2891433238974,6144.613120555878,3861.2891433238974,2282.5379180908203,0.4595851898193359,0.0
13030,,,,0.9872693419456482,0.0459601916372776,0.1169330243890625,0.984599769115448,0.0554049983620643,0.1163323974404877,43793.0,0.9835902452468872,0.0585167668759822,0.1148562822485859,43793.0,4101.327311038971,6506.298141956329,4101.327311038971,2404.1355471611023,0.4883947372436523,0.0
13793,,,,0.9873653054237366,0.0450830869376659,0.1282558153598947,0.9847288727760316,0.0540384612977504,0.1297930226839651,43793.0,0.9837486147880554,0.0569779574871063,0.1253920273532037,43793.0,4341.346291065216,6872.482264041901,4341.346291065216,2530.2524497509003,0.5159683227539062,0.0
14549,,,,0.9873365759849548,0.0448140390217304,0.1359084855202851,0.9846858382225036,0.0543573647737503,0.1291172491233788,43793.0,0.9837111234664916,0.0574033185839653,0.1246018142505477,43793.0,4581.467157363892,7237.98002910614,4581.467157363892,2655.5792648792267,0.5457859039306641,0.0
15315,,,,0.9868437051773072,0.0545139834284782,0.0334743632616219,0.9841268658638,0.0648231655359268,0.0392354989865581,43793.0,0.9831331968307496,0.0680669024586677,0.0375143730963237,43793.0,4821.685777187347,7604.961012840271,4821.685777187347,2782.292212963104,0.5746004581451416,0.0
16084,,,,0.9867300391197203,0.054883848875761,0.0360521029684304,0.9841179251670836,0.0650170445442199,0.0400781450276897,43793.0,0.983142077922821,0.068286083638668,0.0387302764285105,43793.0,5061.656195163727,7964.878164052963,5061.656195163727,2902.1909165382385,0.6022758483886719,0.0
16853,,,,0.986668348312378,0.0546900182962417,0.0346494622193616,0.9841252565383912,0.0646009370684623,0.0412267047084102,43793.0,0.9831222891807556,0.0677709430456161,0.0377244021393078,43793.0,5301.773932218552,8329.002499103546,5301.773932218552,3026.1481680870056,0.63150954246521,0.0
17621,,,,0.9867173433303832,0.0546608977019786,0.0377011298933416,0.984113872051239,0.0647852718830108,0.039104621332349,43793.0,0.9831319451332092,0.0680359601974487,0.0375041775305307,43793.0,5541.933013916016,8692.540874958038,5541.933013916016,3149.4782960414886,0.6598942279815674,0.0
