global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.0249252,0.80516833,0.0,,,,,,,,,,,,,,,,,
1,,,,0.4363503158092499,0.8004730343818665,0.0234020212135073,0.436078131198883,0.8042896389961243,0.0259254679256908,43793.0,0.4371149837970733,0.8030176162719727,0.0267016580438312,43793.0,20.09591317176819,324.01801109313965,20.09591317176819,303.9220585823059,0.0,0.0
1,2.0103612,0.80497634,4.6310015e-07,,,,,,,,,,,,,,,,,
2,2.0315323,0.80286485,9.262003e-07,,,,,,,,,,,,,,,,,
3,2.0472462,0.80315584,1.3893005e-06,,,,,,,,,,,,,,,,,
4,2.07515,0.79906946,1.8526334e-06,,,,,,,,,,,,,,,,,
5,2.0712645,0.796768,2.3157336e-06,,,,,,,,,,,,,,,,,
6,2.0798938,0.7917829,2.7788337e-06,,,,,,,,,,,,,,,,,
7,2.1141725,0.7848081,3.2419339e-06,,,,,,,,,,,,,,,,,
8,2.1010451,0.77941686,3.7052669e-06,,,,,,,,,,,,,,,,,
9,2.0439029,0.7692858,4.168367e-06,,,,,,,,,,,,,,,,,
10,2.0542374,0.7630102,4.6317e-06,,,,,,,,,,,,,,,,,
11,2.0158448,0.75467265,5.0948e-06,,,,,,,,,,,,,,,,,
12,1.9803541,0.7451752,5.5579003e-06,,,,,,,,,,,,,,,,,
13,1.9152509,0.73739004,6.0210004e-06,,,,,,,,,,,,,,,,,
14,1.8749728,0.7249302,6.4841006e-06,,,,,,,,,,,,,,,,,
15,1.8117534,0.7183983,6.9472007e-06,,,,,,,,,,,,,,,,,
16,1.7698467,0.7065445,7.410301e-06,,,,,,,,,,,,,,,,,
17,1.6943907,0.6955342,7.873634e-06,,,,,,,,,,,,,,,,,
18,1.6425476,0.6869426,8.336734e-06,,,,,,,,,,,,,,,,,
19,1.599075,0.677677,8.799834e-06,,,,,,,,,,,,,,,,,
20,1.5348257,0.6683682,9.262934e-06,,,,,,,,,,,,,,,,,
21,1.52428,0.6593219,9.7260345e-06,,,,,,,,,,,,,,,,,
22,1.4531463,0.6458697,1.0189135e-05,,,,,,,,,,,,,,,,,
23,1.4505564,0.63759774,1.0652235e-05,,,,,,,,,,,,,,,,,
24,1.3823339,0.6298018,1.1115568e-05,,,,,,,,,,,,,,,,,
25,1.3664753,0.6233627,1.1578901e-05,,,,,,,,,,,,,,,,,
26,1.3339567,0.6155112,1.2042001e-05,,,,,,,,,,,,,,,,,
27,1.2883989,0.6047623,1.2505101e-05,,,,,,,,,,,,,,,,,
28,1.2369922,0.59713423,1.2968201e-05,,,,,,,,,,,,,,,,,
29,1.2145797,0.5921679,1.3431301e-05,,,,,,,,,,,,,,,,,
