global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.019856,11.119386,0.0,,,,,,,,,,,,,,,,,
1,,,,0.0005910904728807,11.133831977844238,0.0,0.0004835649742744,11.11816120147705,0.0,3000.0,0.0007088489946909,11.126153945922852,0.0,3003.0,42.73603677749634,896.2309136390686,42.73603677749634,853.4948334693909,0.0,0.0
100,0.12876093,8.221849,0.00010706647,,,,,,,,,,,,,,,,,
200,0.27521363,7.3876777,0.00021413295,,,,,,,,,,,,,,,,,
300,0.22917245,6.607292,0.00032119942,,,,,,,,,,,,,,,,,
400,0.49168175,6.1016912,0.0004282659,,,,,,,,,,,,,,,,,
500,0.29576972,5.617684,0.00053533236,,,,,,,,,,,,,,,,,
600,0.367592,5.3247604,0.0006423987,,,,,,,,,,,,,,,,,
700,0.4810549,5.0096607,0.0007494652,,,,,,,,,,,,,,,,,
800,0.64868665,4.6851397,0.00085653167,,,,,,,,,,,,,,,,,
824,,,,0.3330366909503937,4.533439636230469,8.424212448425891,0.3146148324012756,4.731593608856201,4.55197659156102,3000.0,0.2955203056335449,4.998560428619385,3.527133561659118,3003.0,883.3330330848694,2568.9423418045044,883.3330330848694,1685.539846658707,0.0406560897827148,0.0
900,0.56117207,4.443589,0.00096359814,,,,,,,,,,,,,,,,,
1000,0.5548107,4.201567,0.0010706646,,,,,,,,,,,,,,,,,
1100,0.43185768,3.8899906,0.001177731,,,,,,,,,,,,,,,,,
1200,0.5525943,3.69263,0.0012847974,,,,,,,,,,,,,,,,,
1300,0.5641084,3.6181488,0.0013918639,,,,,,,,,,,,,,,,,
1400,0.45923814,3.535082,0.0014271949,,,,,,,,,,,,,,,,,
1500,0.4231393,3.2998886,0.0014271903,,,,,,,,,,,,,,,,,
1600,0.49377432,3.3098137,0.0014271814,,,,,,,,,,,,,,,,,
1646,,,,0.4918723702430725,3.0668039321899414,20.657956314289816,0.4857968091964721,3.1086037158966064,16.182521981672817,3000.0,0.480832040309906,3.1892871856689453,14.386260345736604,3003.0,1723.354073524475,3895.401316404343,1723.354073524475,2171.919826745987,0.0696945190429687,0.0
1700,0.40298325,3.0641308,0.0014271686,,,,,,,,,,,,,,,,,
1800,0.33978453,3.0510905,0.0014271517,,,,,,,,,,,,,,,,,
1900,0.37653953,3.0056202,0.0014271308,,,,,,,,,,,,,,,,,
2000,0.33780706,2.995915,0.001427106,,,,,,,,,,,,,,,,,
2100,0.35322058,2.811311,0.0014270769,,,,,,,,,,,,,,,,,
2200,0.54380697,2.893453,0.0014270439,,,,,,,,,,,,,,,,,
2300,0.27869657,2.8051825,0.0014270068,,,,,,,,,,,,,,,,,
2400,0.26986894,2.7553098,0.0014269658,,,,,,,,,,,,,,,,,
