global_step,grad_norm,loss,lr,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
82,0.382355,6.89738,3.8847444e-05,,,,,,,,,,,,,,
83,0.3952316,6.894843,3.9321254e-05,,,,,,,,,,,,,,
84,0.40017787,6.8943596,3.9795064e-05,,,,,,,,,,,,,,
85,0.36926827,6.8967047,4.026876e-05,,,,,,,,,,,,,,
86,0.32539678,6.899864,4.074257e-05,,,,,,,,,,,,,,
87,0.39582786,6.893736,4.1216263e-05,,,,,,,,,,,,,,
88,0.39216548,6.8978205,4.1689957e-05,,,,,,,,,,,,,,
89,0.37328854,6.8934126,4.2163883e-05,,,,,,,,,,,,,,
90,0.40472376,6.8942046,4.2637577e-05,,,,,,,,,,,,,,
91,0.33428884,6.8994255,4.311127e-05,,,,,,,,,,,,,,
92,0.39876541,6.8939285,4.3584965e-05,,,,,,,,,,,,,,
93,0.34640282,6.89688,4.4058776e-05,,,,,,,,,,,,,,
94,0.36886662,6.8907213,4.453247e-05,,,,,,,,,,,,,,
95,0.4008283,6.884574,4.500628e-05,,,,,,,,,,,,,,
96,0.40073094,6.890348,4.548009e-05,,,,,,,,,,,,,,
97,0.39622587,6.8913684,4.5953784e-05,,,,,,,,,,,,,,
98,0.36903992,6.892296,4.6427478e-05,,,,,,,,,,,,,,
99,0.40368775,6.887966,4.690129e-05,,,,,,,,,,,,,,
916,,,,0.041093748062849,5.8448991775512695,0.0399399995803833,5.873331069946289,50000.0,0.0300000011920928,5.988770484924316,10000.0,463.4261090755463,523.9699583053589,463.4261090755463,60.45684719085693,0.0341396331787109,0.0
1880,,,,0.0940039008855819,5.170383930206299,0.0888599976897239,5.200710296630859,50000.0,0.068400003015995,5.437838077545166,10000.0,883.4909996986389,965.551637649536,883.4909996986389,81.8880763053894,0.0631206035614013,0.0
2850,,,,0.1698632836341858,4.489402294158936,0.1575399935245514,4.5817484855651855,50000.0,0.1192000061273574,4.9071149826049805,10000.0,1303.7624504566193,1407.369460105896,1303.7624504566193,103.34729552268982,0.0937261581420898,0.0
3817,,,,0.2193164080381393,4.188987255096436,0.2050799876451492,4.274576187133789,50000.0,0.1523000001907348,4.656141757965088,10000.0,1723.8589582443235,1849.496542930603,1723.8589582443235,125.29340124130248,0.1220381259918212,0.0
4776,,,,0.2793554663658142,3.6489973068237305,0.2605199813842773,3.7556166648864746,50000.0,0.2008000165224075,4.203616142272949,10000.0,2143.977738142013,2291.200855731964,2143.977738142013,146.79531621932983,0.1515529155731201,0.0
5738,,,,0.3234570324420929,3.470372438430786,0.3019199967384338,3.5975208282470703,50000.0,0.2222000062465667,4.084917068481445,10000.0,2564.0810375213623,2732.6928646564484,2564.0810375213623,168.09938025474548,0.181816816329956,0.0
6692,,,,0.4038671851158142,2.943767547607422,0.3518799841403961,3.198709487915039,50000.0,0.2694000005722046,3.7297637462615967,10000.0,2984.1587722301483,3176.8216001987457,2984.1587722301483,192.06458854675293,0.2141597270965576,0.0
7650,,,,0.4121874868869781,2.8783769607543945,0.3879799842834472,2.990074396133423,50000.0,0.294700026512146,3.562441110610962,10000.0,3404.237609863281,3621.1082940101614,3404.237609863281,216.1750044822693,0.2574813365936279,0.0
8608,,,,0.4484960734844208,2.752312183380127,0.4154599905014038,2.909590244293213,50000.0,0.3177000284194946,3.4584553241729736,10000.0,3824.251996278763,4066.833501577377,3824.251996278763,241.78869915008545,0.2989335060119629,0.0
9566,,,,0.4852929711341858,2.480647563934326,0.4451799988746643,2.672028064727783,50000.0,0.3458000123500824,3.261068820953369,10000.0,4244.240127563477,4512.71090054512,4244.240127563477,267.5914304256439,0.3327195644378662,0.0
10518,,,,0.4863867163658142,2.557572841644287,0.4536799788475036,2.7155520915985107,50000.0,0.3543000221252441,3.2798705101013184,10000.0,4664.637065172195,4958.915602207184,4664.637065172195,293.3104627132416,0.3691160678863525,0.0
11468,,,,0.5132617354393005,2.357365131378174,0.4780599772930145,2.5226752758026123,50000.0,0.3702000081539154,3.124841451644897,10000.0,5084.899994134903,5407.2375700473785,5084.899994134903,321.2844228744507,0.4023730754852295,0.0
12423,,,,0.5354687571525574,2.2196528911590576,0.4943199753761291,2.427488088607788,50000.0,0.3884000182151794,3.0303783416748047,10000.0,5505.137831687927,5855.125363111496,5505.137831687927,348.8473346233368,0.4366984367370605,0.0
13375,,,,0.560253918170929,2.1311259269714355,0.504539966583252,2.3839595317840576,50000.0,0.396200031042099,2.983782768249512,10000.0,5925.187570333481,6301.794280290604,5925.187570333481,375.38385105133057,0.4676682949066162,0.0
14323,,,,0.5537304282188416,2.1570804119110107,0.5122399926185608,2.334590435028076,50000.0,0.406900018453598,2.94754695892334,10000.0,6345.471064329147,6751.552223920822,6345.471064329147,404.7705960273743,0.5040514469146729,0.0
15274,,,,0.5699023604393005,2.049210548400879,0.5259799957275391,2.2504100799560547,50000.0,0.4126000106334686,2.8735246658325195,10000.0,6765.548100471497,7201.610744476318,6765.548100471497,434.6674830913544,0.5371336936950684,0.0
16227,,,,0.5877734422683716,1.99389123916626,0.5390200018882751,2.2133755683898926,50000.0,0.4300000071525574,2.8323819637298584,10000.0,7185.738678693771,7652.122099876404,7185.738678693771,464.9023563861847,0.5712087154388428,0.0
17178,,,,0.5993945002555847,1.944560408592224,0.5482000112533569,2.172492265701294,50000.0,0.4328000247478485,2.780533790588379,10000.0,7605.741671562195,8102.586257219315,7605.741671562195,495.2806715965271,0.6022875308990479,0.0
18127,,,,0.6004687547683716,1.9143519401550293,0.5574600100517273,2.1058216094970703,50000.0,0.4417000114917755,2.7216477394104004,10000.0,8025.93262887001,8554.67625117302,8025.93262887001,527.0872933864594,0.6435589790344238,0.0
19081,,,,0.6125390529632568,1.912982940673828,0.5645399689674377,2.127502679824829,50000.0,0.4460000097751617,2.730971336364746,10000.0,8446.29769563675,9009.742687225342,8446.29769563675,561.696346282959,0.6837234497070312,0.0
20040,,,,0.6300195455551147,1.7990362644195557,0.5712199807167053,2.0719380378723145,50000.0,0.4553000330924988,2.678119659423828,10000.0,8866.482079982758,9467.24555659294,8866.482079982758,598.9222364425659,0.7238600254058838,0.0
20994,,,,0.61767578125,1.888088345527649,0.5740599632263184,2.09106707572937,50000.0,0.4558000266551971,2.706956386566162,10000.0,9286.66348028183,9928.215373039246,9286.66348028183,639.586175441742,0.7945120334625244,0.0
21938,,,,0.6312109231948853,1.7623989582061768,0.5837599635124207,1.978029489517212,50000.0,0.465800017118454,2.6033923625946045,10000.0,9706.580116510391,10385.284966230392,9706.580116510391,676.6044883728027,0.8775060176849365,0.0
22882,,,,0.6417773365974426,1.733386754989624,0.587660014629364,1.9753023386001587,50000.0,0.4698000252246856,2.596077442169189,10000.0,10126.56783747673,10838.456864118576,10126.56783747673,709.6662633419037,0.9496250152587892,0.0
23828,,,,0.6635351181030273,1.634040355682373,0.5935800075531006,1.9501780271530151,50000.0,0.4744000136852264,2.561251401901245,10000.0,10546.776244163511,11292.051403284073,10546.776244163511,742.9211754798889,1.0300195217132568,0.0
24776,,,,0.6438086032867432,1.728818416595459,0.594760000705719,1.944376826286316,50000.0,0.4705000221729278,2.575368642807007,10000.0,10966.750180482864,11745.2257604599,10966.750180482864,775.994594335556,1.105632781982422,0.0
