global_step,loss,lr,score,preemption_count
0,0.3485010266304016,0.0012515644555694,,
1,0.3488684296607971,0.0025031289111389,,
2,0.3488439321517944,0.0037546933667083,,
3,0.3485140800476074,0.0050062578222778,,
4,0.3488110601902008,0.0062578222778473,,
5,0.3491068482398987,0.0075093867334167,,
6,0.349576324224472,0.0087609511889862,,
7,0.3493892252445221,0.0100125156445556,,
8,0.3500948548316955,0.0112640801001251,,
9,0.3492905497550964,0.0125156445556946,,
10,0.3487755358219147,0.013767209011264,,
11,0.3497456014156341,0.0150187734668335,,
12,0.3492372035980224,0.016270337922403,,
13,0.3498798608779907,0.0175219023779724,,
14,0.3493262529373169,0.0187734668335419,,
15,0.3496153354644775,0.0200250312891113,,
16,0.349628210067749,0.0212765957446808,,
17,0.3492439687252044,0.0225281602002503,,
18,0.3492261171340942,0.0237797246558197,,
19,0.3425457179546356,0.0250312891113892,,
20,0.3422194719314575,0.0262828535669586,,
21,0.3413402736186981,0.0275344180225281,,
22,0.3422431945800781,0.0287859824780976,,
23,0.3419131636619568,0.030037546933667,,
24,0.3418103158473968,0.0312891113892365,,
25,0.3421086072921753,0.032540675844806,,
26,0.3418508470058441,0.0337922403003754,,
27,0.3422264754772186,0.0350438047559449,,
28,0.3414096236228943,0.0362953692115143,,
29,0.3409565389156341,0.0375469336670838,,
30,0.3418615162372589,0.0387984981226533,,
31,0.3413773775100708,0.0400500625782227,,
32,0.3410827815532684,0.0413016270337922,,
33,0.3413729965686798,0.0425531914893617,,
34,0.3418059945106506,0.0438047559449311,,
35,0.3414791822433471,0.0450563204005006,,
36,0.3412001430988312,0.04630788485607,,
37,0.3414688110351562,0.0475594493116395,,
38,0.3419737815856933,0.048811013767209,,
39,0.3423572480678558,0.0500625782227784,,
40,0.3419111371040344,0.0513141426783479,,
41,0.3421496450901031,0.0525657071339173,,
42,0.3417155742645263,0.0538172715894868,,
43,0.3421878814697265,0.0550688360450563,,
44,0.3419004380702972,0.0563204005006257,,
45,0.3419482707977295,0.0575719649561952,,
46,0.3429570198059082,0.0588235294117647,,
47,0.3422856032848358,0.0600750938673341,,
48,0.3421121537685394,0.0613266583229036,,
49,0.3421652019023895,0.0625782227784731,,
50,0.3419924974441528,0.0638297872340425,,
51,0.3421793282032013,0.065081351689612,,
52,0.3420843780040741,0.0663329161451814,,
53,0.3420228064060211,0.0675844806007509,,
54,0.3403650522232055,0.0688360450563204,,
55,0.3400865793228149,0.0700876095118898,,
56,0.339476466178894,0.0713391739674593,,
57,0.3388534784317016,0.0725907384230287,,
58,0.3362962603569031,0.0738423028785982,,
59,0.3330337405204773,0.0750938673341677,,
60,0.3278576731681824,0.0763454317897371,,
61,0.3182471692562103,0.0775969962453066,,
62,0.303154706954956,0.078848560700876,,
63,0.2783834338188171,0.0801001251564455,,
64,0.2431105077266693,0.081351689612015,,
65,0.194413959980011,0.0826032540675844,,
66,0.1536314934492111,0.0838548185231539,,
67,0.1548133641481399,0.0851063829787234,,
68,0.1491310894489288,0.0863579474342928,,
69,0.1453487575054168,0.0876095118898623,,
70,0.1446252763271331,0.0888610763454317,,
71,0.1440949887037277,0.0901126408010012,,
72,0.1442666500806808,0.0913642052565707,,
73,0.1428166031837463,0.0926157697121401,,
74,0.1445730328559875,0.0938673341677096,,
75,0.1442967653274536,0.0951188986232791,,
76,0.1534807384014129,0.0963704630788485,,
77,0.1530795246362686,0.097622027534418,,
78,0.1525703519582748,0.0988735919899874,,
79,0.1503903716802597,0.1001251564455569,,
80,0.1504349559545517,0.1013767209011264,,
81,0.1513279676437378,0.1026282853566958,,
82,0.1517176926136016,0.1038798498122653,,
83,0.1524941772222519,0.1051314142678347,,
84,0.1511270403861999,0.1063829787234042,,
85,0.1530123800039291,0.1076345431789737,,
86,0.1522590368986129,0.1088861076345431,,
87,0.1509502083063125,0.1101376720901126,,
88,0.1549178659915924,0.1113892365456821,,
89,0.1526479423046112,0.1126408010012515,,
90,0.1519086211919784,0.113892365456821,,
91,0.1526984274387359,0.1151439299123904,,
92,0.1528056412935257,0.1163954943679599,,
93,0.1504000127315521,0.1176470588235294,,
94,0.1529748737812042,0.1188986232790988,,
95,0.1449862718582153,0.1201501877346683,,
96,0.1427143365144729,0.1214017521902378,,
97,0.1450539082288742,0.1226533166458072,,
98,0.1430710405111313,0.1239048811013767,,
99,0.1438569128513336,0.1251564455569462,,
100,0.1434398889541626,0.1264080100125156,,
500,0.1307205408811569,0.6270337922403004,,
1000,0.1336495876312255,1.0,,
1500,0.1250264644622802,1.0,,
2000,0.1200346946716308,1.0,,
2500,0.1209809556603431,1.0,,
3000,0.118451789021492,1.0,,
3500,0.1135253012180328,1.0,,
4000,0.1169010177254676,1.0,,
4500,0.1251294612884521,1.0,,
5000,0.1228984594345092,1.0,,
5500,0.1262821406126022,1.0,,
6000,0.1259451210498809,1.0,,
6500,0.1161708384752273,1.0,,
7000,0.1250152289867401,1.0,,
7500,0.1187475621700286,1.0,,
8000,0.1248916387557983,1.0,,
8500,0.1189526244997978,1.0,,
9000,0.1220536977052688,1.0,,
9500,0.1197408437728881,1.0,,
10000,0.119464062154293,1.0,,
10500,0.1210716217756271,1.0,,
10666,,,4148.454895973206,0.0
