global_step,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.7800049781799316,0.0001666666666666,,,,,,,,,,,,,,,,,
1,,,0.4709154090278192,0.7720340630504416,0.0231137236825328,0.4663672042133397,0.775690616761941,0.0257721602211885,43793.0,0.4662770475431924,0.7754774347053469,0.0264135437411738,43793.0,14.17261838912964,167.21081805229187,14.17261838912964,152.60759806632996,0.0,0.0
1,0.7785466313362122,0.0003333333333333,,,,,,,,,,,,,,,,,
2,0.7795517444610596,0.0005,,,,,,,,,,,,,,,,,
3,0.7801656126976013,0.0006666666666666,,,,,,,,,,,,,,,,,
4,0.7830124497413635,0.0008333333333333,,,,,,,,,,,,,,,,,
5,0.7799920439720154,0.001,,,,,,,,,,,,,,,,,
6,0.775842547416687,0.0011666666666666,,,,,,,,,,,,,,,,,
7,0.7772318720817566,0.0013333333333333,,,,,,,,,,,,,,,,,
8,0.7785922884941101,0.0015,,,,,,,,,,,,,,,,,
9,0.7756988406181335,0.0016666666666666,,,,,,,,,,,,,,,,,
10,0.7798996567726135,0.0018333333333333,,,,,,,,,,,,,,,,,
11,0.7826379537582397,0.002,,,,,,,,,,,,,,,,,
12,0.7792688608169556,0.0021666666666666,,,,,,,,,,,,,,,,,
13,0.7803791165351868,0.0023333333333333,,,,,,,,,,,,,,,,,
14,0.7836434841156006,0.0025,,,,,,,,,,,,,,,,,
15,0.7764833569526672,0.0026666666666666,,,,,,,,,,,,,,,,,
16,0.7737671136856079,0.0028333333333333,,,,,,,,,,,,,,,,,
17,0.7816895842552185,0.003,,,,,,,,,,,,,,,,,
18,0.7798005938529968,0.0031666666666666,,,,,,,,,,,,,,,,,
19,0.7830276489257812,0.0033333333333333,,,,,,,,,,,,,,,,,
20,0.7794054746627808,0.0035,,,,,,,,,,,,,,,,,
21,0.7768415808677673,0.0036666666666666,,,,,,,,,,,,,,,,,
22,0.7820711731910706,0.0038333333333333,,,,,,,,,,,,,,,,,
23,0.7845419645309448,0.004,,,,,,,,,,,,,,,,,
24,0.782792329788208,0.0041666666666666,,,,,,,,,,,,,,,,,
