global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
87,0.9977305,0.4228753,0.04686153,,,,,,,,,,,,,,
88,0.73584306,0.42208168,0.047400117,,,,,,,,,,,,,,
89,0.7851718,0.4629288,0.047938943,,,,,,,,,,,,,,
90,0.86272186,0.4293687,0.04847753,,,,,,,,,,,,,,
91,0.628247,0.49209037,0.049016118,,,,,,,,,,,,,,
92,1.0104036,0.41888568,0.049554706,,,,,,,,,,,,,,
93,1.3113286,0.43497467,0.050093412,,,,,,,,,,,,,,
94,1.0744289,0.46331325,0.050632,,,,,,,,,,,,,,
95,0.94552493,0.3796544,0.051170588,,,,,,,,,,,,,,
96,1.3056486,0.40480018,0.051709294,,,,,,,,,,,,,,
97,1.3706981,0.38368154,0.052248,,,,,,,,,,,,,,
98,1.107589,0.43587843,0.05278659,,,,,,,,,,,,,,
99,0.9426614,0.42265236,0.053325176,,,,,,,,,,,,,,
330,,,,0.5132047789437431,0.5696621281760079,0.4942663361265476,0.5809618123944851,3554.0,0.5172651600351682,0.5813080319743088,3581.0,141.78072381019592,356.829797744751,141.78072381019592,215.0088927745819,0.0291996002197265,0.0
563,,,,0.245866162436349,0.8112471444266183,0.2343044162937007,0.8232826486221511,3554.0,0.2568516863088174,0.8275155688224309,3581.0,221.8373954296112,440.9910225868225,221.8373954296112,219.0713551044464,0.063572883605957,0.0
793,,,,0.3229401452200753,0.9868338448660714,0.3090385475652434,0.9919610825830052,3554.0,0.3309697393797123,0.9939937724710276,3581.0,301.7995595932007,525.0613374710083,301.7995595932007,223.1326072216034,0.1028187274932861,0.0
1049,,,,0.1615619829722813,1.499154499598912,0.153278529006709,1.5063619447277716,3554.0,0.1698789066590599,1.5065864109187377,3581.0,381.87999153137207,609.2413148880005,381.87999153137207,227.18893432617188,0.1374804973602295,0.0
1388,,,,0.0686069301196507,1.423201288495745,0.0669033670935257,1.4299930536015757,3554.0,0.0784092966786512,1.4271728720154984,3581.0,460.385199546814,693.3066766262054,460.385199546814,231.2478744983673,1.6272344589233398,0.0
1733,,,,0.0831941025597708,1.8549690246582031,0.0743116336923404,1.871818203300858,3554.0,0.0817603329911774,1.8839260975897096,3581.0,540.4224183559418,777.4399008750916,540.4224183559418,235.3054990768433,1.6539912223815918,0.0
2080,,,,0.0245256764548165,2.8794877188546315,0.0239153117629068,2.8876263431169105,3554.0,0.0291125785701936,2.882814136239877,3581.0,620.477881193161,861.5913383960724,620.477881193161,239.36197519302368,1.6816670894622805,0.0
2428,,,,0.044330392565046,2.7738094329833984,0.0406479371284995,2.7967903682470454,3554.0,0.0441482829435082,2.809151435091455,3581.0,700.707014799118,945.9164679050446,700.707014799118,243.42038822174072,1.7076201438903809,0.0
2776,,,,-0.0187766190086092,4.563272203717913,-0.0170429790026697,4.56033199827659,3554.0,-0.0175987463095973,4.563624914915526,3581.0,780.8321549892426,1030.1389360427856,780.8321549892426,247.48030829429624,1.7334210872650146,0.0
3121,,,,0.028260982462338,3.515395028250558,0.0251127510306938,3.514709438308948,3554.0,0.0283501355283854,3.523203790404217,3581.0,860.8912608623505,1114.294885635376,860.8912608623505,251.54001379013064,1.7591428756713867,0.0
3467,,,,-0.0200416765042713,7.092960357666016,-0.0167218585596637,7.049393069428812,3554.0,-0.0168077937053988,7.064015158126222,3581.0,941.011457681656,1198.5157446861267,941.011457681656,255.6027312278748,1.7856366634368896,0.0
3816,,,,0.0064718068710395,4.975500924246652,0.0060596825637774,4.984620102349465,3554.0,0.0074777328844877,4.981162515707903,3581.0,1021.0982160568236,1282.704167842865,1021.0982160568236,259.6668612957001,1.8115336894989007,0.0
4163,,,,0.0001018154185398,7.348988124302456,0.0001808758458194,7.361129185424874,3554.0,-0.0005745435686492,7.368263055012567,3581.0,1101.1460592746737,1366.8495416641235,1101.1460592746737,263.7255828380585,1.83875060081482,0.0
4509,,,,-0.0216020324400493,3.899710246494838,-0.0184464033359748,3.870129002972004,3554.0,-0.015723808222528,3.878819801993158,3581.0,1181.3138461112976,1451.118284225464,1181.3138461112976,267.7881815433502,1.8656268119812007,0.0
4857,,,,-0.000292452850512,5.051841190883091,-0.000809010657019,5.058344800752673,3554.0,0.0005594380439176,5.047194612189332,3581.0,1261.4514751434326,1535.3553638458252,1261.4514751434326,271.8507843017578,1.8910799026489256,0.0
5202,,,,0.0009047253323452,5.422939845493862,0.000452604264306,5.421163873452448,3554.0,0.0018419327265854,5.413476180710696,3581.0,1341.5712869167328,1619.5719814300537,1341.5712869167328,275.90860962867737,1.9184129238128664,0.0
5548,,,,0.0085173254566533,11.02412632533482,0.008446982689097,11.02574344048959,3554.0,0.0087986290704534,11.061584796495392,3581.0,1421.6216025352478,1703.7169811725616,1421.6216025352478,279.9644458293915,1.94553542137146,0.0
5896,,,,0.0156011975237301,3.5988903045654297,0.0153882644387128,3.628530902680079,3554.0,0.0163305581398297,3.631952655944569,3581.0,1501.6507468223572,1787.8425178527832,1501.6507468223572,284.0218453407288,1.9725489616394043,0.0
6244,,,,0.0132024713924952,3.6043638501848494,0.0126472230566708,3.603687086733258,3554.0,0.0160777015547551,3.602706777087406,3581.0,1581.7430353164673,1872.0303606987,1581.7430353164673,288.0782790184021,2.0001115798950195,0.0
6590,,,,0.0223385159458432,4.602695465087891,0.0220652630172154,4.59716384707372,3554.0,0.0228810506105356,4.621411725949455,3581.0,1661.8050889968872,1956.1862740516665,1661.8050889968872,292.13404750823975,2.0263760089874268,0.0
6937,,,,-0.0058892550212996,9.928676060267858,-0.0059214985363927,9.890911868669106,3554.0,-0.0061602343463658,9.9163805064926,3581.0,1741.8373908996582,2040.3140704631803,1741.8373908996582,296.1919815540314,2.052706956863404,0.0
7285,,,,0.031775421329907,3.9951234545026506,0.0289665849006236,3.989882383845667,3554.0,0.0300965723263022,4.009077313425021,3581.0,1821.905598640442,2124.479426383972,1821.905598640442,300.2493577003479,2.0802812576293945,0.0
7628,,,,0.0194419835294996,2.300829751150949,0.0201217230612733,2.29360101514139,3554.0,0.0281835543779779,2.2913306011763472,3581.0,1901.9897837638853,2208.658980846405,1901.9897837638853,304.3075308799744,2.106281280517578,0.0
7975,,,,0.0104657667023795,3.3931238991873607,0.0096451625705905,3.398474320308104,3554.0,0.0137552039245758,3.3904248333216978,3581.0,1981.987468004227,2292.752027750016,1981.987468004227,308.36526560783386,2.1325528621673584,0.0
8322,,,,0.0071689662124429,4.831788744245257,0.0070175000235279,4.850735966516601,3554.0,0.0075364399142719,4.851548319254398,3581.0,2062.106370925904,2376.9721105098724,2062.106370925904,312.42745757102966,2.1603150367736816,0.0
8668,,,,0.0141564458608627,3.5495877947126115,0.013622924727406,3.5482205899162915,3554.0,0.0168493431195704,3.550216201829098,3581.0,2142.087400197983,2461.047375202179,2142.087400197983,316.4823489189148,2.187481641769409,0.0
