global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,6.970303,11.428338,,,,,,,,,,,,,,,,,
1,,,0.0006239718641154,11.436686515808104,2.2949908790120515e-11,0.0004835649742744,11.450459480285645,0.0,3000.0,0.0007088489946909,11.45477294921875,8.357143723437112e-11,3003.0,39.76069903373718,942.4341988563538,39.76069903373718,902.6734306812286,0.0,0.0
100,1.7373036,7.8903747,,,,,,,,,,,,,,,,,
200,0.52232814,6.6951194,,,,,,,,,,,,,,,,,
300,0.74439585,6.0204678,,,,,,,,,,,,,,,,,
400,0.91012,5.489822,,,,,,,,,,,,,,,,,
500,0.5816962,5.1329126,,,,,,,,,,,,,,,,,
600,0.56835085,4.8301024,,,,,,,,,,,,,,,,,
700,0.5483318,4.531824,,,,,,,,,,,,,,,,,
800,0.43912354,4.234673,,,,,,,,,,,,,,,,,
900,0.6357655,3.898795,,,,,,,,,,,,,,,,,
1000,0.7872844,3.7294602,,,,,,,,,,,,,,,,,
1100,0.61916155,3.4096208,,,,,,,,,,,,,,,,,
1200,0.75283283,3.1718853,,,,,,,,,,,,,,,,,
1300,0.4961452,2.9926524,,,,,,,,,,,,,,,,,
1400,0.4269584,2.8736289,,,,,,,,,,,,,,,,,
1500,0.3546138,2.6961668,,,,,,,,,,,,,,,,,
1600,0.3305782,2.7570376,,,,,,,,,,,,,,,,,
1700,0.9254798,2.6432953,,,,,,,,,,,,,,,,,
1800,0.37362218,2.5750687,,,,,,,,,,,,,,,,,
1900,0.53051233,2.537975,,,,,,,,,,,,,,,,,
2000,0.36220178,2.477242,,,,,,,,,,,,,,,,,
2100,0.3107896,2.4774725,,,,,,,,,,,,,,,,,
2200,0.27880213,2.4536405,,,,,,,,,,,,,,,,,
2223,,,0.5593243837356567,2.46084976196289,26.310931524577256,0.5691807866096497,2.383336544036865,21.909252057010285,3000.0,0.5713322758674622,2.3831324577331543,20.87817266240868,3003.0,879.7597341537476,2261.132783651352,879.7597341537476,1381.2597196102142,0.03159761428833,0.0
2300,0.2655298,2.4139304,,,,,,,,,,,,,,,,,
2400,0.27636638,2.3736393,,,,,,,,,,,,,,,,,
2500,0.32166234,2.397069,,,,,,,,,,,,,,,,,
2600,0.2520743,2.347787,,,,,,,,,,,,,,,,,
2700,0.27734858,2.2783961,,,,,,,,,,,,,,,,,
2800,0.26692945,2.3235135,,,,,,,,,,,,,,,,,
2900,0.67204297,2.4070182,,,,,,,,,,,,,,,,,
3000,0.27226058,2.3719344,,,,,,,,,,,,,,,,,
3100,0.34162593,2.3875153,,,,,,,,,,,,,,,,,
3200,0.29370433,2.2704246,,,,,,,,,,,,,,,,,
3300,0.2772893,2.226218,,,,,,,,,,,,,,,,,
3400,0.33532795,2.3079734,,,,,,,,,,,,,,,,,
3500,0.39040583,2.3229065,,,,,,,,,,,,,,,,,
3600,0.2777715,2.3617206,,,,,,,,,,,,,,,,,
3700,0.36321023,2.2675803,,,,,,,,,,,,,,,,,
3800,0.3730963,2.1937137,,,,,,,,,,,,,,,,,
3900,0.4190706,2.278252,,,,,,,,,,,,,,,,,
4000,0.3557084,2.2434065,,,,,,,,,,,,,,,,,
4100,0.34352756,2.3219721,,,,,,,,,,,,,,,,,
4200,0.4886677,2.221923,,,,,,,,,,,,,,,,,
4300,0.35155773,2.1948729,,,,,,,,,,,,,,,,,
4400,0.40355095,2.1699188,,,,,,,,,,,,,,,,,
4444,,,0.5882440805435181,2.212208271026612,27.673163808937392,0.6024103760719299,2.108999729156494,24.47832034237541,3000.0,0.6039626002311707,2.099547863006592,22.80912220757717,3003.0,1720.0185623168943,3588.993515729904,1720.0185623168943,1868.7544174194336,0.0579307079315185,0.0
4500,0.4345219,2.1961906,,,,,,,,,,,,,,,,,
4600,0.45601007,2.225692,,,,,,,,,,,,,,,,,
4700,0.4988321,2.23288,,,,,,,,,,,,,,,,,
4800,0.56532097,2.2146297,,,,,,,,,,,,,,,,,
4900,0.40787598,2.2208867,,,,,,,,,,,,,,,,,
5000,0.5131337,2.209857,,,,,,,,,,,,,,,,,
5100,0.49169037,2.2357562,,,,,,,,,,,,,,,,,
5200,0.38526967,2.2630222,,,,,,,,,,,,,,,,,
5300,0.5372145,2.1305842,,,,,,,,,,,,,,,,,
