accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,total_duration,train/loss,validation/loss,validation/num_examples
824.6532080173492,0.0,36.87957286834717,1,0,36.87957286834717,1.3083635966417817,95000000,861.8372514247894,1.2423584198023294,1.2648112679997214,83274637
1532.9842371940613,0.0277168750762939,184.270733833313,6,0,184.270733833313,1.085355345589728,95000000,1718.1945521831512,1.046114591251712,1.0503214142251942,83274637
2335.0724840164185,0.0579497814178466,324.3050467967987,10,0,324.3050467967987,0.2455417903451217,95000000,2660.945552587509,0.239246738221135,0.2392763581308415,83274637
3140.115304231644,0.0858933925628662,446.5608270168304,13,0,446.5608270168304,0.1407620772130866,95000000,3588.839086532593,0.1359356465914709,0.1374978334660725,83274637
3945.034005641937,0.116753339767456,570.769469499588,16,0,570.769469499588,0.1398706750943234,95000000,4518.551337718964,0.1362904466589875,0.1364790495967962,83274637
4747.865998983383,0.1474223136901855,695.6894865036011,19,0,695.6894865036011,0.1392739048740587,95000000,5446.873206615448,0.1356118465450372,0.1358721434699595,83274637
5528.744352340698,0.1827278137207031,823.7014751434326,22,0,823.7014751434326,0.1379241668538143,95000000,6356.374968528748,0.1339068783473897,0.1348976618483584,83274637
6319.830233812332,0.21537446975708,950.404957294464,25,0,950.404957294464,0.1368746962367007,95000000,7274.760098218918,0.1336134001131703,0.133935378895898,83274637
7090.990192651749,0.2446315288543701,1078.9120454788208,28,0,1078.9120454788208,0.1361832667188945,95000000,8174.997373104095,0.1311883190537749,0.1331011117201349,83274637
7827.179389953613,0.2783460617065429,1202.0704102516174,31,0,1202.0704102516174,0.1349621658030459,95000000,9034.94260931015,0.1313939147437192,0.1319901674613967,83274637
8531.832417964935,0.3118100166320801,1361.8128473758698,35,0,1361.8128473758698,0.1364087452345597,95000000,9899.925382614136,0.1327009327813562,0.1336491817675781,83274637
9192.806125879288,0.34479856491088867,1486.7850258350372,38,0,1486.7850258350372,0.1333933045065629,95000000,10686.473798036575,0.1296748604296395,0.13072867304708333,83274637
