accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/bleu,test/loss,test/num_examples,total_duration,train/accuracy,train/bleu,train/loss,validation/accuracy,validation/bleu,validation/loss,validation/num_examples
788.3337826728821,0.0,282.71656227111816,1,0,282.71656227111816,0.1723316483644181,0.6411861257433468,7.263081023763872,3003.0,1071.657363653183,0.2011721209207559,1.624477964480728,6.831378129185124,0.1887267361843002,0.480198412324982,7.006941947403008,3000.0
1210.9329645633698,0.0342578887939453,1327.6889970302582,6,0,1327.6889970302582,0.5055952588460868,16.192984895911604,3.249243579687409,3003.0,2540.322901248932,0.5073590096286107,21.74936372443181,3.18658227303989,0.5070364905580836,17.75230033138638,3.172840386356028,3000.0
1626.4057087898254,0.0873422622680664,2375.1440105438232,11,0,2375.1440105438232,0.5744698158154669,20.769851282677283,2.532029116553367,3003.0,4004.329312562944,0.5666682056372493,25.79157385126281,2.591467874950945,0.5750951631101908,22.17178593197205,2.514031909089782,3000.0
2043.9322865009308,0.1134281158447265,3422.427105665207,16,0,3422.427105665207,0.6142118412643077,23.6872005004529,2.211648800185928,3003.0,5470.190067768097,0.59560875061211,28.11669679470167,2.3372452625525275,0.6097382549503416,24.66283398271197,2.2287862983719977,3000.0
2463.196304321289,0.1407749652862548,4469.769298553467,21,0,4469.769298553467,0.6389053512288653,25.3722725494031,2.0144115681831387,3003.0,6937.874661207199,0.611743073162932,29.239503758439884,2.204932730304484,0.6316722669278744,26.48988951195605,2.055639809177816,3000.0
2867.7828850746155,0.1672315597534179,5517.231735706329,26,0,5517.231735706329,0.651687874034048,26.408698526677792,1.9182532246818893,3003.0,8391.001500606537,0.6232226406481799,30.302665140968845,2.106513715337213,0.6425710778539634,27.11363374314693,1.963007278273053,3000.0
3289.198165655136,0.1932671070098877,6564.747034072876,31,0,6564.747034072876,0.661460693742374,27.039112021893285,1.8471159432920807,3003.0,9861.03216934204,0.6315952149275943,30.51948796471831,2.046179025241829,0.650370113203804,27.85718923504564,1.90273349834472,3000.0
3715.5796449184418,0.219144582748413,7612.238728761673,36,0,7612.238728761673,0.6676427865899716,27.681851337964712,1.780095578409157,3003.0,11335.886723995209,0.6390938850931323,31.34890144926143,1.961998016733013,0.655875314627221,28.046727778346536,1.8424130280467688,3000.0
4124.290659189224,0.2466259002685547,8659.499022722244,41,0,8659.499022722244,0.6702109116262855,27.819704817399035,1.762541397943176,3003.0,12792.75928735733,0.6402986441920118,31.29071573152042,1.9594710459417368,0.6578715700983249,28.321875542253817,1.828704076824838,3000.0
4603.638143062592,0.2724804878234863,9706.982835054398,46,0,9706.982835054398,0.6735111266050782,28.0028808222739,1.7209210316076928,3003.0,14320.648084163666,0.6499239139140285,31.613967470503,1.882765571904212,0.6616036998921279,28.508084780426778,1.7913136151442637,3000.0
5004.886258125305,0.2994520664215088,10754.327746868134,51,0,10754.327746868134,0.6781709371913311,28.14519300474024,1.7053279879147056,3003.0,15770.288991451263,0.6487838872196772,31.797967778890364,1.8926603038282703,0.664753071877596,28.401009847195645,1.773844248676396,3000.0
