accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,total_duration,train/loss,validation/loss,validation/num_examples
733.6289341449738,0.0,34.203134298324585,1,0,34.203134298324585,0.169131447479248,95000000,768.1133959293365,0.1675353374707064,0.1684189805226554,83274637
1336.8590128421783,0.0285260677337646,168.33310723304749,6,0,168.33310723304749,0.1335802344227841,95000000,1506.0672345161438,0.1312264375801423,0.1305720248241878,83274637
2072.5389177799225,0.0652303695678711,295.6593368053436,10,0,295.6593368053436,0.1316546375517192,95000000,2369.6495428085327,0.1258386326475556,0.1290027735019071,83274637
2810.4331748485565,0.0931982994079589,443.2728910446167,14,0,443.2728910446167,0.1302602195653815,95000000,3255.678628921509,0.1274067664490736,0.1277011811503708,83274637
3542.569070577621,0.121889591217041,597.0940284729004,18,0,597.0940284729004,0.1295970656095003,95000000,4142.19179391861,0.126825921900736,0.1270704421691848,83274637
4256.783746004105,0.1539208889007568,744.0625607967377,22,0,744.0625607967377,0.1290603458388479,95000000,5003.956902503967,0.1259808252623644,0.1265195768309624,83274637
4976.671883583069,0.1849913597106933,898.1097638607025,26,0,898.1097638607025,0.1287731229997333,95000000,5878.469232082367,0.1258841805075213,0.1263984845304358,83274637
5676.88868355751,0.2148718833923339,1048.675280570984,30,0,1048.675280570984,0.1285024280295924,95000000,6729.799959182739,0.1234675048201042,0.1260525478908221,83274637
6363.930414199829,0.2424354553222656,1202.4741566181185,34,0,1202.4741566181185,0.1280672037555895,95000000,7571.20941901207,0.1234994532019446,0.125542324521849,83274637
7024.190178871155,0.2798717021942138,1358.1187028884888,38,0,1358.1187028884888,0.1278005265314202,95000000,8387.672391653061,0.1258298433122864,0.1252573919495404,83274637
7673.234353065491,0.3154358863830566,1507.3376684188845,42,0,1507.3376684188845,0.1277701641555786,95000000,9186.45769929886,0.1244292927220846,0.1253615612385522,83274637
8273.810664892197,0.35332298278808594,1660.8596227169037,46,0,1660.8596227169037,0.12775237285766602,95000000,9941.121147632599,0.1250122915206306,0.1253339646802369,83274637
