global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
5308,,,,0.5961520671844482,2.11100172996521,28.466578924973827,0.6061053276062012,2.028184413909912,24.296865308681603,3000.0,0.6115856170654297,2.000385999679565,22.8700462568556,3003.0,5929.781011581421,10438.667378902435,5929.781011581421,4508.509797096252,0.1941690444946289,0.0
5400,0.13823952,2.2465012,0.0014238555,,,,,,,,,,,,,,,,,
5500,0.14863822,2.2278893,0.0014236894,,,,,,,,,,,,,,,,,
5600,0.16202846,2.1850936,0.0014235192,,,,,,,,,,,,,,,,,
5700,0.14963245,2.272563,0.001423345,,,,,,,,,,,,,,,,,
5800,0.14339365,2.097169,0.0014231668,,,,,,,,,,,,,,,,,
5900,0.13895366,2.1406531,0.0014229846,,,,,,,,,,,,,,,,,
6000,0.16388279,2.2089348,0.0014227984,,,,,,,,,,,,,,,,,
6067,,,,0.601544201374054,2.068020820617676,28.27819296942057,0.6157270073890686,1.9585506916046145,25.065383255667307,3000.0,0.6200917959213257,1.9218624830245967,23.69726750152424,3003.0,6770.38258600235,11785.247283220291,6770.38258600235,5014.434992313385,0.2220466136932373,0.0
6100,0.1655665,2.1970522,0.0014226082,,,,,,,,,,,,,,,,,
6200,0.14662892,2.179243,0.0014224139,,,,,,,,,,,,,,,,,
6300,0.15579261,2.1914115,0.0014222155,,,,,,,,,,,,,,,,,
6400,0.13930768,2.170912,0.0014220132,,,,,,,,,,,,,,,,,
6500,0.16634353,2.1369383,0.0014218069,,,,,,,,,,,,,,,,,
6600,0.14060356,2.1551647,0.0014215965,,,,,,,,,,,,,,,,,
6700,0.13831785,2.1674433,0.0014213821,,,,,,,,,,,,,,,,,
6800,0.14709659,2.1158907,0.0014211639,,,,,,,,,,,,,,,,,
6826,,,,0.6103730201721191,1.971012711524964,29.3306207995068,0.6197566986083984,1.911909937858581,25.50250642798289,3000.0,0.624809741973877,1.8777092695236208,23.748646565323835,3003.0,7611.181341409683,13053.3251850605,7611.181341409683,5441.661163568497,0.249769926071167,0.0
6900,0.13600151,2.112912,0.0014209416,,,,,,,,,,,,,,,,,
7000,0.15010922,2.1301417,0.001420715,,,,,,,,,,,,,,,,,
7100,0.13262168,2.0857148,0.0014204847,,,,,,,,,,,,,,,,,
7200,0.14468592,2.1643775,0.0014202504,,,,,,,,,,,,,,,,,
7300,0.16720656,2.0465648,0.001420012,,,,,,,,,,,,,,,,,
7400,0.14030072,2.081147,0.0014197696,,,,,,,,,,,,,,,,,
7500,0.14313316,2.0341964,0.0014195233,,,,,,,,,,,,,,,,,
7585,,,,0.6088374257087708,1.9881577491760247,29.312201848460266,0.6258694529533386,1.8642650842666624,25.576113921522907,3000.0,0.6323862671852112,1.829000353813172,24.580837649464524,3003.0,8452.118121862411,14492.198395729063,8452.118121862411,6039.54377913475,0.2781562805175781,0.0
7600,0.14384039,2.169346,0.0014192727,,,,,,,,,,,,,,,,,
7700,0.14178962,2.0995638,0.0014190184,,,,,,,,,,,,,,,,,
7800,0.13707803,2.0626566,0.0014187599,,,,,,,,,,,,,,,,,
7900,0.15515915,2.0712702,0.0014184976,,,,,,,,,,,,,,,,,
8000,0.14597517,2.1714642,0.0014182314,,,,,,,,,,,,,,,,,
8100,0.1372544,2.0124378,0.001417961,,,,,,,,,,,,,,,,,
8200,0.14638437,2.0879571,0.0014176867,,,,,,,,,,,,,,,,,
8300,0.16928181,2.082767,0.0014174082,,,,,,,,,,,,,,,,,
8344,,,,0.6124876141548157,1.96008563041687,29.26812638042152,0.6297876238822937,1.834467887878418,26.07535276374964,3000.0,0.6350589990615845,1.793573975563049,24.53388068985797,3003.0,9293.022030353546,16011.316543102264,9293.022030353546,6717.701648950577,0.3090441226959228,0.0
8400,0.1494835,2.040543,0.001417126,,,,,,,,,,,,,,,,,
8500,0.16339143,2.0287104,0.0014168397,,,,,,,,,,,,,,,,,
8600,0.13134605,1.9823134,0.0014165494,,,,,,,,,,,,,,,,,
8700,0.1352087,2.0848098,0.001416255,,,,,,,,,,,,,,,,,
8800,0.19245584,1.9613442,0.0014159568,,,,,,,,,,,,,,,,,
8900,0.14361975,1.9717379,0.0014156547,,,,,,,,,,,,,,,,,
9000,0.13629948,2.1279576,0.0014153484,,,,,,,,,,,,,,,,,
9100,0.15275472,2.064332,0.0014150384,,,,,,,,,,,,,,,,,
9103,,,,0.6142187714576721,1.9465999603271484,29.986100296125613,0.6332469582557678,1.8095099925994875,26.11276210729945,3000.0,0.6407297849655151,1.7530595064163208,25.22748599631466,3003.0,10133.931428194046,17322.480352401733,10133.931428194046,7187.9030249118805,0.3368666172027588,0.0
9200,0.15397194,2.043226,0.0014147242,,,,,,,,,,,,,,,,,
9300,0.14154874,2.0877378,0.001414406,,,,,,,,,,,,,,,,,
9400,0.15793912,2.0020468,0.001414084,,,,,,,,,,,,,,,,,
9500,0.14208792,2.0098078,0.0014137579,,,,,,,,,,,,,,,,,
9600,0.1935249,2.0101945,0.0014134279,,,,,,,,,,,,,,,,,
9700,0.13740239,2.0698748,0.0014130939,,,,,,,,,,,,,,,,,
9800,0.14251542,2.0051737,0.0014127559,,,,,,,,,,,,,,,,,
9861,,,,0.6142288446426392,1.944625735282898,30.31384832201716,0.6372146606445312,1.7855522632598877,26.92621434327608,3000.0,0.6436232924461365,1.7330902814865112,25.239582587339942,3003.0,10973.911584615707,18659.390278816223,10973.911584615707,7684.779802083969,0.3647317886352539,0.0
9900,0.13378285,1.903115,0.001412414,,,,,,,,,,,,,,,,,
10000,0.1467279,1.9299954,0.0014120681,,,,,,,,,,,,,,,,,
10100,0.13753521,2.0034935,0.0014117183,,,,,,,,,,,,,,,,,
10200,0.20237486,1.9483136,0.0014113645,,,,,,,,,,,,,,,,,
10300,0.14408758,2.001953,0.0014110068,,,,,,,,,,,,,,,,,
10400,0.16033012,1.9805918,0.0014106451,,,,,,,,,,,,,,,,,
10500,0.1405075,2.0958536,0.0014102795,,,,,,,,,,,,,,,,,
10600,0.153213,1.9757035,0.0014099099,,,,,,,,,,,,,,,,,
10619,,,,0.6184330582618713,1.916268229484558,30.226695890500583,0.6383553743362427,1.7637377977371216,26.53797734850193,3000.0,0.6447853446006775,1.7149490118026731,25.6572413299798,3003.0,11814.377461194992,19932.094544172287,11814.377461194992,8116.963843584061,0.3937740325927734,0.0
10700,0.16598733,2.0573466,0.0014095363,,,,,,,,,,,,,,,,,
10800,0.14758793,1.971237,0.0014091589,,,,,,,,,,,,,,,,,
10900,0.21049832,2.000769,0.0014087775,,,,,,,,,,,,,,,,,
11000,0.13871822,2.0052536,0.0014083921,,,,,,,,,,,,,,,,,
11100,0.14936024,1.9304094,0.0014080029,,,,,,,,,,,,,,,,,
11200,0.14710045,1.9624414,0.0014076098,,,,,,,,,,,,,,,,,
11300,0.16234764,1.9849529,0.0014072126,,,,,,,,,,,,,,,,,
11377,,,,0.6217375993728638,1.886933445930481,30.339222796508576,0.6400416493415833,1.746407389640808,26.91997772886201,3000.0,0.6476439833641052,1.6965183019638062,25.61990183142648,3003.0,12655.33216381073,21231.84682393074,12655.33216381073,8575.706935882568,0.4229903221130371,0.0
11400,0.14792138,1.9296623,0.0014068114,,,,,,,,,,,,,,,,,
11500,0.14126422,1.9479656,0.0014064065,,,,,,,,,,,,,,,,,
11600,0.15107225,1.9682628,0.0014059976,,,,,,,,,,,,,,,,,
11700,0.14708345,1.9081811,0.0014055847,,,,,,,,,,,,,,,,,
