global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,11.217885,1.2653298,,,,,,,,,,,,,,
1,,,0.1170375602585928,1.2603047234671456,0.1155064485686242,1.2588198376828923,3554.0,0.1358893809122801,1.255762836847249,3581.0,49.29575419425965,53.33449578285217,49.29575419425965,4.038625478744507,0.0,0.0
100,1.4915632,0.37482217,,,,,,,,,,,,,,
200,0.41611338,0.35016614,,,,,,,,,,,,,,
300,1.0563027,0.31746754,,,,,,,,,,,,,,
344,,,0.6010712214878627,0.3851961067744663,0.5936315018069429,0.403608898534222,3554.0,0.602229744986561,0.4099931032489179,3581.0,129.47708892822266,137.6543514728546,129.47708892822266,8.135015964508057,0.0279972553253173,0.0
400,0.39962676,0.44871598,,,,,,,,,,,,,,
500,0.33314493,0.30407295,,,,,,,,,,,,,,
600,1.6891364,0.37959284,,,,,,,,,,,,,,
686,,,0.6794651576450893,0.327758857182094,0.6595316099597285,0.3514113375224219,3554.0,0.6760275722781695,0.3539737039889346,3581.0,209.4729061126709,221.79038977622983,209.4729061126709,12.237390756607056,0.0517518520355224,0.0
700,0.5967526,0.37899098,,,,,,,,,,,,,,
800,0.5541836,0.27630812,,,,,,,,,,,,,,
900,0.93375736,0.42066944,,,,,,,,,,,,,,
1000,0.31527978,0.27580515,,,,,,,,,,,,,,
1025,,,0.6855942862374442,0.3270490169525146,0.660400184541186,0.3531252335616558,3554.0,0.6799038245470888,0.3541729502823059,3581.0,289.5831775665283,306.0379741191864,289.5831775665283,16.335646629333496,0.0767006874084472,0.0
1100,0.4858734,0.27997908,,,,,,,,,,,,,,
1200,0.25247884,0.32038996,,,,,,,,,,,,,,
1300,0.5495761,0.44233152,,,,,,,,,,,,,,
1368,,,0.700864315032959,0.3095380578722272,0.6788773158325127,0.3329622679771032,3554.0,0.6956280215896398,0.3355252698159557,3581.0,369.6010367870331,390.1973774433136,369.6010367870331,20.437695026397705,0.1015498638153076,0.0
1400,0.48595133,0.35732645,,,,,,,,,,,,,,
1500,0.61918527,0.32934973,,,,,,,,,,,,,,
1600,0.6552136,0.38686687,,,,,,,,,,,,,,
1700,0.28100988,0.361089,,,,,,,,,,,,,,
1715,,,0.7085819925580706,0.3054727486201695,0.684521470636079,0.3296366934703855,3554.0,0.7025899495601787,0.3320284206685458,3581.0,449.7350723743439,474.47334837913513,449.7350723743439,24.53857064247132,0.1277153491973877,0.0
1800,0.55763435,0.29880646,,,,,,,,,,,,,,
1900,0.19847257,0.30997437,,,,,,,,,,,,,,
2000,0.32724443,0.38321555,,,,,,,,,,,,,,
2059,,,0.6984939575195312,0.3142227785927908,0.6770887831053038,0.3373785410694815,3554.0,0.6936822596690868,0.3399772399033091,3581.0,529.8517727851868,558.732372045517,529.8517727851868,28.641963243484497,0.1517763137817382,0.0
2100,0.7904681,0.32554308,,,,,,,,,,,,,,
2200,0.38689998,0.25668138,,,,,,,,,,,,,,
2300,0.6165807,0.2753713,,,,,,,,,,,,,,
2400,0.37350073,0.35990366,,,,,,,,,,,,,,
2405,,,0.7025773865836007,0.3078813893454415,0.6780282505187817,0.3334781644581809,3554.0,0.6962791768840757,0.3347254893993472,3581.0,609.8234543800354,642.8461322784424,609.8234543800354,32.744216442108154,0.1763863563537597,0.0
2500,0.5045032,0.28413758,,,,,,,,,,,,,,
2600,0.51874965,0.3202355,,,,,,,,,,,,,,
2700,0.41555387,0.31824607,,,,,,,,,,,,,,
2751,,,0.7073208263942173,0.2976985999516078,0.6824331546540869,0.3215454651119337,3554.0,0.7007532702981011,0.323429127905962,3581.0,689.9019827842712,727.0646765232086,689.9019827842712,36.84283494949341,0.203047513961792,0.0
2800,0.82629186,0.30614862,,,,,,,,,,,,,,
2900,0.352769,0.2653067,,,,,,,,,,,,,,
3000,0.79795414,0.33922622,,,,,,,,,,,,,,
3099,,,0.6980744770595005,0.311788763318743,0.6731108846326322,0.3354247634707372,3554.0,0.6918502164199944,0.3369102786952841,3581.0,770.0027897357941,811.3058578968048,770.0027897357941,40.94415903091431,0.2271406650543213,0.0
3100,0.51038295,0.2633929,,,,,,,,,,,,,,
3200,1.2843928,0.3280146,,,,,,,,,,,,,,
3300,0.75444824,0.32491842,,,,,,,,,,,,,,
3400,0.39765608,0.3517122,,,,,,,,,,,,,,
3444,,,0.7181665556771415,0.295473507472447,0.6958143827817248,0.3185187808301385,3554.0,0.7128868071069534,0.3210142764656346,3581.0,849.9988977909088,895.443199634552,849.9988977909088,45.046427965164185,0.2514362335205078,0.0
3500,0.3953154,0.35181427,,,,,,,,,,,,,,
3600,0.15718491,0.33565834,,,,,,,,,,,,,,
3700,0.5917772,0.30729896,,,,,,,,,,,,,,
3790,,,0.7012390409197126,0.3087622778756277,0.6772869670397791,0.3321357001464019,3554.0,0.6950592918790143,0.3337766748005969,3581.0,930.1751985549928,979.7580733299257,930.1751985549928,49.144829988479614,0.2769079208374023,0.0
3800,0.6958144,0.29741225,,,,,,,,,,,,,,
3900,0.319369,0.34322336,,,,,,,,,,,,,,
4000,0.4077018,0.25464496,,,,,,,,,,,,,,
4100,0.5777408,0.35774884,,,,,,,,,,,,,,
4132,,,0.7015234402247837,0.2930263791765485,0.6847540018728897,0.3139001334324001,3554.0,0.6992503839709578,0.3168599997709264,3581.0,1010.1532237529756,1063.879893541336,1010.1532237529756,53.24721693992615,0.3034977912902832,0.0
4200,0.28119236,0.2848885,,,,,,,,,,,,,,
4300,0.24183442,0.29393917,,,,,,,,,,,,,,
4400,0.6260721,0.32160622,,,,,,,,,,,,,,
4475,,,0.7166218076433454,0.2977174690791538,0.6932998854723551,0.3210464331563027,3554.0,0.7104611496657708,0.3231214466324001,3581.0,1090.168515920639,1148.0369126796722,1090.168515920639,57.34783363342285,0.329923152923584,0.0
4500,0.53125125,0.30034608,,,,,,,,,,,,,,
4600,0.4971564,0.41854808,,,,,,,,,,,,,,
4700,0.57576925,0.37857163,,,,,,,,,,,,,,
4800,0.5853309,0.32806018,,,,,,,,,,,,,,
4809,,,0.7203417505536761,0.2944369316101074,0.69739916731148,0.3170743737250281,3554.0,0.7145906100556758,0.3191639618712475,3581.0,1170.3706154823303,1232.382852077484,1170.3706154823303,61.45191478729248,0.3555600643157959,0.0
4900,0.5270662,0.34339166,,,,,,,,,,,,,,
5000,0.74619335,0.29227233,,,,,,,,,,,,,,
5100,0.7298189,0.25583926,,,,,,,,,,,,,,
5153,,,0.719355583190918,0.2910808835710798,0.6961307901308385,0.3144922122300577,3554.0,0.7133073207553756,0.3164479741168668,3581.0,1250.5806365013125,1316.734486579895,1250.5806365013125,65.553866147995,0.3805115222930908,0.0
5200,0.2669934,0.25147158,,,,,,,,,,,,,,
5300,0.31423762,0.35156608,,,,,,,,,,,,,,
5400,0.3149328,0.317538,,,,,,,,,,,,,,
5497,,,0.709524427141462,0.2881859030042376,0.6858925462507034,0.3115641390532674,3554.0,0.7043341812691986,0.3129775093374756,3581.0,1330.751713514328,1401.0457451343536,1330.751713514328,69.65367269515991,0.4065690040588379,0.0
5500,0.48888436,0.28772697,,,,,,,,,,,,,,
5600,0.57047313,0.2855389,,,,,,,,,,,,,,
5700,0.17277774,0.3410084,,,,,,,,,,,,,,
5800,0.6028015,0.37206966,,,,,,,,,,,,,,
5840,,,0.7215606144496373,0.2938992977142334,0.6989926760560284,0.3166295761597847,3554.0,0.7163533858166364,0.318916582854824,3581.0,1410.8567774295807,1485.2893800735474,1410.8567774295807,73.7525863647461,0.4317214488983154,0.0
5900,0.3204784,0.35916412,,,,,,,,,,,,,,
6000,0.462887,0.23626584,,,,,,,,,,,,,,
6100,0.5569133,0.3841797,,,,,,,,,,,,,,
