global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.987869,0.7404342,0.0,,,,,,,,,,,,,,,,,
1,,,,0.5646212697029114,0.731306254863739,0.0211065729320577,0.5686867833137512,0.7284688949584961,0.0250475101613104,43793.0,0.568371057510376,0.7277184128761292,0.0269199350982522,43793.0,21.00545811653137,328.28411531448364,21.00545811653137,307.2786056995392,0.0,0.0
100,0.23299202,0.21048602,0.0001783995,,,,,,,,,,,,,,,,,
200,0.036697924,0.073483504,0.000356799,,,,,,,,,,,,,,,,,
300,0.013333605,0.05096596,0.00053519843,,,,,,,,,,,,,,,,,
400,0.012013075,0.06055789,0.0007135979,,,,,,,,,,,,,,,,,
500,0.013983987,0.052720387,0.0008919974,,,,,,,,,,,,,,,,,
587,,,,0.9867276549339294,0.053407534956932,0.0372214290590544,0.9841151237487792,0.0631111562252044,0.0401916681934885,43793.0,0.9831331968307496,0.0662730932235717,0.0429588847920805,43793.0,261.3430690765381,685.8487484455109,261.3430690765381,424.4576992988586,0.0315048694610595,0.0
600,0.01571124,0.05577255,0.0010703969,,,,,,,,,,,,,,,,,
700,0.018896071,0.053042185,0.0012487964,,,,,,,,,,,,,,,,,
800,0.018045705,0.05735634,0.0014271958,,,,,,,,,,,,,,,,,
900,0.023189703,0.0561752,0.0014271903,,,,,,,,,,,,,,,,,
1000,0.012712068,0.048292603,0.0014271734,,,,,,,,,,,,,,,,,
1100,0.018484386,0.050277583,0.0014271453,,,,,,,,,,,,,,,,,
1175,,,,0.9873056411743164,0.0477999225258827,0.0850665916720917,0.9844918251037598,0.0577298142015934,0.0878071533061372,43793.0,0.9835203289985656,0.0612244307994842,0.0857050650184845,43793.0,501.3244683742523,1046.3449671268463,501.3244683742523,544.9299304485321,0.0576968193054199,0.0
1200,0.030241614,0.04740759,0.001427106,,,,,,,,,,,,,,,,,
1300,0.019563248,0.04867703,0.0014270555,,,,,,,,,,,,,,,,,
1400,0.035934158,0.048099894,0.0014269936,,,,,,,,,,,,,,,,,
1500,0.027313944,0.047337674,0.0014269206,,,,,,,,,,,,,,,,,
1600,0.03442865,0.053960733,0.0014268365,,,,,,,,,,,,,,,,,
1700,0.01694746,0.049322527,0.0014267411,,,,,,,,,,,,,,,,,
1758,,,,0.9876380562782288,0.0450249463319778,0.1223536798429753,0.9847508072853088,0.054550427943468,0.1173441681713814,43793.0,0.9837578535079956,0.0577405057847499,0.1156821321034109,43793.0,741.4608871936798,1408.4222230911255,741.4608871936798,666.8277699947357,0.084641695022583,0.0
1800,0.015040711,0.048148587,0.0014266346,,,,,,,,,,,,,,,,,
1900,0.018127644,0.044310465,0.0014265167,,,,,,,,,,,,,,,,,
2000,0.016383503,0.045805994,0.0014263875,,,,,,,,,,,,,,,,,
2100,0.020009886,0.044057947,0.0014262473,,,,,,,,,,,,,,,,,
2200,0.024818826,0.043867946,0.0014260957,,,,,,,,,,,,,,,,,
2300,0.016807774,0.04591558,0.0014259331,,,,,,,,,,,,,,,,,
2340,,,,0.9876918196678162,0.0437463745474815,0.1418304118292924,0.9849813580513,0.0528025962412357,0.1378776767781901,43793.0,0.9839941263198853,0.0559078864753246,0.1374893006524953,43793.0,981.5511939525604,1775.1982049942017,981.5511939525604,793.4693114757538,0.1126728057861328,0.0
2400,0.0156125445,0.043642554,0.0014257593,,,,,,,,,,,,,,,,,
