global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.5812242,0.77930033,0.0,,,,,,,,,,,,,,,,,
1,,,,0.4758866131305694,0.7672930955886841,0.0228948201045617,0.4844051599502563,0.7606566548347473,0.0267700050889554,43793.0,0.4857678115367889,0.7597931623458862,0.0284379683765297,43793.0,21.200286388397217,327.9403266906738,21.200286388397217,306.7399969100952,0.0,0.0
100,0.21813953,0.21563421,0.0001783995,,,,,,,,,,,,,,,,,
200,0.03017683,0.06204875,0.000356799,,,,,,,,,,,,,,,,,
300,0.010113534,0.055342633,0.00053519843,,,,,,,,,,,,,,,,,
400,0.010571126,0.05231531,0.0007135979,,,,,,,,,,,,,,,,,
500,0.007908962,0.054269873,0.0008919974,,,,,,,,,,,,,,,,,
556,,,,0.9867541193962096,0.0554455891251564,0.0317332660056154,0.9841179251670836,0.0654101893305778,0.0355894830418678,43793.0,0.983142077922821,0.0688210874795913,0.0344831211281977,43793.0,261.21876430511475,686.3782613277435,261.21876430511475,425.1131432056427,0.0297849178314209,0.0
600,0.011033112,0.06289041,0.0010703969,,,,,,,,,,,,,,,,,
700,0.015835864,0.045117173,0.0012487964,,,,,,,,,,,,,,,,,
800,0.013797171,0.054168597,0.0014271958,,,,,,,,,,,,,,,,,
900,0.015845977,0.04958968,0.0014271903,,,,,,,,,,,,,,,,,
1000,0.012814365,0.054645907,0.0014271734,,,,,,,,,,,,,,,,,
1100,0.019236546,0.05080094,0.0014271453,,,,,,,,,,,,,,,,,
1118,,,,0.9869851469993592,0.049395564943552,0.0678238191711129,0.9842612147331238,0.0584796294569969,0.0681154409340635,43793.0,0.9832861423492432,0.061617661267519,0.0702914888216282,43793.0,501.5794560909271,1046.3471505641935,501.5794560909271,544.678795337677,0.0564699172973632,0.0
1200,0.013710898,0.04841699,0.001427106,,,,,,,,,,,,,,,,,
1300,0.048156552,0.049649015,0.0014270555,,,,,,,,,,,,,,,,,
1400,0.026727721,0.057278935,0.0014269936,,,,,,,,,,,,,,,,,
1500,0.017580872,0.048312,0.0014269206,,,,,,,,,,,,,,,,,
1600,0.020839198,0.04835347,0.0014268365,,,,,,,,,,,,,,,,,
1679,,,,0.9874094128608704,0.0462596900761127,0.1021686289415998,0.9846375584602356,0.0557278655469417,0.1052476062778436,43793.0,0.9836432933807372,0.0589279979467392,0.1022598752052398,43793.0,741.6969020366669,1408.8342900276184,741.6969020366669,667.0048933029175,0.0841333866119384,0.0
1700,0.017111793,0.050425496,0.0014267411,,,,,,,,,,,,,,,,,
1800,0.014002408,0.047908865,0.0014266346,,,,,,,,,,,,,,,,,
