global_step,grad_norm,loss,lr,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.8159204,0.9772677,0.0,,,,,,,,,,,
1,,,,0.976292038488688,0.9779973908614876,83274637.0,0.9765246743421052,95000000.0,21.873953580856323,849.1084189414978,21.873953580856323,827.2344205379486,0.0,0.0
1,4.823573,0.9776986,2.2445805e-05,,,,,,,,,,,
2,4.7048,0.8923329,4.489161e-05,,,,,,,,,,,
3,4.522975,0.7469124,6.7337416e-05,,,,,,,,,,,
4,4.171958,0.5687828,8.978322e-05,,,,,,,,,,,
5,3.3519306,0.39327192,0.00011222903,,,,,,,,,,,
6,2.0437233,0.2536828,0.00013467507,,,,,,,,,,,
7,0.5870429,0.18601537,0.00015712064,,,,,,,,,,,
8,0.57195807,0.18381391,0.00017956644,,,,,,,,,,,
9,1.1870482,0.21857148,0.00020201248,,,,,,,,,,,
10,1.6024845,0.2659735,0.00022445805,,,,,,,,,,,
11,1.9012934,0.31159437,0.0002469041,,,,,,,,,,,
12,2.129851,0.35223252,0.0002693499,,,,,,,,,,,
13,2.171368,0.36119676,0.0002917957,,,,,,,,,,,
14,2.1444368,0.35703442,0.0003142415,,,,,,,,,,,
15,2.088604,0.34774444,0.0003366873,,,,,,,,,,,
16,1.9731468,0.32606563,0.00035913312,,,,,,,,,,,
17,1.7605944,0.28828752,0.00038157892,,,,,,,,,,,
18,1.5085462,0.24936822,0.00040402473,,,,,,,,,,,
19,1.2597766,0.21125028,0.00042647053,,,,,,,,,,,
20,0.9277192,0.17720306,0.00044891634,,,,,,,,,,,
21,0.4650736,0.15160953,0.00047136215,,,,,,,,,,,
22,0.16245835,0.14513448,0.00049380807,,,,,,,,,,,
23,0.6835372,0.1521886,0.0005162539,,,,,,,,,,,
24,0.89414173,0.15827507,0.0005386997,,,,,,,,,,,
25,0.7961972,0.15026289,0.00056114537,,,,,,,,,,,
26,0.4351835,0.14182131,0.0005835913,,,,,,,,,,,
27,0.07154225,0.13478217,0.0006060371,,,,,,,,,,,
28,0.24796854,0.1389642,0.000628483,,,,,,,,,,,
29,0.3607022,0.14065784,0.0006509287,,,,,,,,,,,
30,0.35585395,0.14018887,0.0006733746,,,,,,,,,,,
31,0.2574309,0.13723218,0.0006958203,,,,,,,,,,,
32,0.108409405,0.13269441,0.00071826624,,,,,,,,,,,
33,0.028922591,0.13382846,0.00074071204,,,,,,,,,,,
34,0.119751476,0.13111988,0.00076315785,,,,,,,,,,,
35,0.09877118,0.1332403,0.00078560365,,,,,,,,,,,
36,0.048958983,0.13313901,0.00080804946,,,,,,,,,,,
37,0.036287695,0.13421345,0.00083049526,,,,,,,,,,,
38,0.07027902,0.13592446,0.0008529412,,,,,,,,,,,
39,0.061724953,0.13830104,0.000875387,,,,,,,,,,,
40,0.02144561,0.13651702,0.0008978328,,,,,,,,,,,
41,0.022202386,0.13619483,0.0009202785,,,,,,,,,,,
42,0.018719722,0.13626091,0.0009427244,,,,,,,,,,,
43,0.015630396,0.13550541,0.0009651702,,,,,,,,,,,
44,0.02483698,0.13178673,0.0009876161,,,,,,,,,,,
45,0.028541757,0.1325331,0.0010100618,,,,,,,,,,,
46,0.015167772,0.13333952,0.0010325077,,,,,,,,,,,
47,0.041279785,0.13790539,0.0010549534,,,,,,,,,,,
48,0.12402216,0.13565144,0.0010773994,,,,,,,,,,,
49,0.12687054,0.13441116,0.0010998452,,,,,,,,,,,
50,0.1397101,0.13505991,0.0011222909,,,,,,,,,,,
51,0.13413142,0.13464686,0.0011447368,,,,,,,,,,,
52,0.19437386,0.13390595,0.0011671825,,,,,,,,,,,
53,0.26632622,0.13635062,0.0011896284,,,,,,,,,,,
54,0.41002697,0.13604167,0.0012120743,,,,,,,,,,,
55,0.37914222,0.13403231,0.00123452,,,,,,,,,,,
56,0.2796746,0.13475662,0.0012569659,,,,,,,,,,,
57,0.25633684,0.14465168,0.0012794117,,,,,,,,,,,
58,0.35418937,0.14864177,0.0013018574,,,,,,,,,,,
59,0.42534778,0.14873828,0.0013243033,,,,,,,,,,,
60,0.60470545,0.14825179,0.0013467493,,,,,,,,,,,
61,0.6711592,0.15110871,0.001369195,,,,,,,,,,,
62,0.58547324,0.14920364,0.0013916409,,,,,,,,,,,
63,0.46557653,0.14726166,0.0014140866,,,,,,,,,,,
64,0.42656156,0.14411856,0.0014365325,,,,,,,,,,,
65,0.37996998,0.14469981,0.0014589783,,,,,,,,,,,
66,0.35549656,0.14425169,0.0014814241,,,,,,,,,,,
67,0.3895999,0.14751181,0.0015038699,,,,,,,,,,,
68,0.54955155,0.14386499,0.0015263157,,,,,,,,,,,
69,0.5569077,0.14163916,0.0015487615,,,,,,,,,,,
70,0.47114366,0.141531,0.0015712073,,,,,,,,,,,
71,0.43389332,0.14077416,0.0015936531,,,,,,,,,,,
72,0.44058344,0.14029406,0.0016160989,,,,,,,,,,,
73,0.46806285,0.14250536,0.0016385448,,,,,,,,,,,
74,0.5323167,0.14185908,0.0016609905,,,,,,,,,,,
75,0.52947783,0.14092198,0.0016834365,,,,,,,,,,,
76,0.61145395,0.13437423,0.0017058824,,,,,,,,,,,
77,0.53782636,0.13276495,0.0017283281,,,,,,,,,,,
78,0.31663126,0.12976237,0.001750774,,,,,,,,,,,
79,0.26024863,0.1300408,0.0017732196,,,,,,,,,,,
80,0.1969799,0.13074568,0.0017956656,,,,,,,,,,,
81,0.18051058,0.13101663,0.0018181114,,,,,,,,,,,
82,0.23453619,0.127915,0.0018405571,,,,,,,,,,,
83,0.2806932,0.12858813,0.001863003,,,,,,,,,,,
84,0.28420356,0.12872052,0.0018854487,,,,,,,,,,,
85,0.2833887,0.12595482,0.0019078946,,,,,,,,,,,
86,0.25210685,0.12868436,0.0019303404,,,,,,,,,,,
87,0.25581414,0.1268363,0.0019527862,,,,,,,,,,,
88,0.33994767,0.12752196,0.001975232,,,,,,,,,,,
89,0.55964726,0.13244367,0.0019976778,,,,,,,,,,,
90,1.0704644,0.13196154,0.0020201236,,,,,,,,,,,
91,1.1524173,0.13708685,0.0020425695,,,,,,,,,,,
92,0.58962137,0.12929094,0.0020650155,,,,,,,,,,,
93,0.34765413,0.13085717,0.002087461,,,,,,,,,,,
94,0.38647336,0.12981823,0.002109907,,,,,,,,,,,
95,0.18450181,0.12697229,0.0021323527,,,,,,,,,,,
96,0.12075828,0.12507354,0.0021547987,,,,,,,,,,,
97,0.16461381,0.12464454,0.0021772445,,,,,,,,,,,
98,0.044058364,0.1253177,0.0021996903,,,,,,,,,,,
99,0.017495839,0.12568386,0.0022221361,,,,,,,,,,,
