accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,total_duration,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples
149.14661812782288,0.0,14.22084665298462,1,0,14.22084665298462,0.5683815889064059,0.6815479662825231,0.0301702423731313,43793.0,163.7513725757599,0.5704289031205558,0.6828923907300585,0.0245349457412483,0.5712624836913325,0.6805177184996107,0.0288207407748724,43793.0
214.59785103797915,0.031341552734375,253.5873961448669,744,0,253.5873961448669,0.983142525121104,0.065570048572171,0.0574934676805269,43793.0,469.8373591899872,0.9868499378843364,0.0520801294028769,0.0553930425784433,0.984124471160755,0.0622111858786221,0.0571505110644151,43793.0
281.9095370769501,0.0694172382354736,492.9442329406738,1477,0,492.9442329406738,0.9832288700315348,0.0614133242937934,0.1036159282181042,43793.0,777.8655631542206,0.9868336633558368,0.0484765045285057,0.1056535492740548,0.984206471181864,0.0580622689689999,0.1072252496243307,43793.0
351.1361970901489,0.0976796150207519,732.1401779651642,2205,0,732.1401779651642,0.9834483124624348,0.0581108947164917,0.141286512446822,43793.0,1087.7381510734558,0.987034617226787,0.0457189683254071,0.1475631976415049,0.9844699266952288,0.0550196356053022,0.1403500727451697,43793.0
421.1630480289459,0.1258971691131591,971.419558763504,2928,0,971.419558763504,0.9836563826368389,0.0561430731480385,0.1607363431243162,43793.0,1398.5403940677645,0.9872086661409766,0.0437391425284671,0.1904380213906032,0.9846156594060114,0.0531835880256018,0.1624853003865652,43793.0
493.115754365921,0.1563425064086914,1210.7177686691284,3659,0,1210.7177686691284,0.9838973059966752,0.0544644017308574,0.1828753003796591,43793.0,1711.3573968410492,0.987534842291439,0.0416026053675981,0.2188002799223891,0.984810105000621,0.0515713437986875,0.182221871735219,43793.0
567.6141619682312,0.186856985092163,1449.8125624656675,4386,0,1449.8125624656675,0.984072101790962,0.053119089453959,0.1980847784064743,43793.0,2026.5638375282288,0.9876083058779108,0.040699500629251,0.2477773505790233,0.985036619910417,0.0502576784697984,0.2004195056848653,43793.0
643.04168009758,0.2160961627960205,1689.127826213837,5120,0,1689.127826213837,0.9842991257261924,0.0520631609597594,0.2154751720268789,43793.0,2342.931366443634,0.9879918951043244,0.0392155221188737,0.2685092184219397,0.9852473031329692,0.0492013288012084,0.2196671694293697,43793.0
722.551872253418,0.2451815605163574,1928.1765656471248,5837,0,1928.1765656471248,0.9844793970513844,0.0513013612696324,0.2275110450914759,43793.0,2663.2131700515747,0.9884541005386788,0.0375076568299808,0.3096837807008902,0.9854372833798948,0.0484725637621203,0.2309867012087932,43793.0
802.6403205394745,0.2781164646148681,2167.4168679714203,6545,0,2167.4168679714203,0.9846516656775612,0.0506001083154781,0.2392911402915551,43793.0,2984.426154613495,0.9886162953480916,0.0367144310155173,0.335616402462301,0.9855874814383616,0.0478494987038313,0.2390150441211122,43793.0
878.6260812282562,0.312171459197998,2406.5291283130646,7247,0,2406.5291283130646,0.9847906599236206,0.0501239510146369,0.2438029045500154,43793.0,3301.4520587921143,0.988834669765701,0.0356175570198475,0.3566863598543011,0.9856999270118624,0.047422407860595,0.246052716392904,43793.0
954.6633377075196,0.3414466381072998,2645.783801794052,7970,0,2645.783801794052,0.984914912355704,0.0497255041331834,0.2482275110136295,43793.0,3618.595034599304,0.9889630205373964,0.0349502500685842,0.3712341743800201,0.985820085458636,0.0470417433133448,0.2500849170041618,43793.0
1032.0235986709597,0.3725628852844238,2884.724139213562,8696,0,2884.724139213562,0.9849953605405444,0.0494436130090611,0.2526604990571341,43793.0,3936.8150537014008,0.9891811245000426,0.0342425085930021,0.3877585976753895,0.9859374023205194,0.0467623768274435,0.2560776074845486,43793.0
1108.237815141678,0.4025630950927734,3123.7323784828186,9420,0,3123.7323784828186,0.9850897081499908,0.0493606606901948,0.2581934412658963,43793.0,4253.794484138489,0.9893334907958252,0.0336432791809982,0.3962140650516228,0.9860011350101932,0.0466193810449644,0.2666314579920457,43793.0
1185.1343755722046,1.0396816730499268,3362.321518659592,10139,0,3362.321518659592,0.985122982530108,0.0493141581645009,0.2605791648179911,43793.0,4571.632398843765,0.98943491651833,0.0332473692788321,0.4244516646246139,0.9860080360020688,0.0465146261448542,0.2693238257172156,43793.0
1263.5126502513883,1.0705621242523191,3601.3445031642914,10860,0,3601.3445031642914,0.9851697351401462,0.0491606919323106,0.2647894650787363,43793.0,4890.823187112808,0.9895665594249198,0.0326680160244106,0.4298058943852591,0.9860717686917424,0.0463479399169201,0.2717225305717278,43793.0
1341.0020127296448,1.1017630100250244,3840.594545841217,11584,0,3840.594545841217,0.9851886889009724,0.0490950382107818,0.2658289808900926,43793.0,5209.372230529785,0.9894723046922344,0.0327136011635251,0.4429313248037084,0.986093283548766,0.0462866587284963,0.273998309980045,43793.0
1418.281400680542,1.1324284076690674,4079.5505073070526,12304,0,4079.5505073070526,0.9852324931482156,0.048898695675889,0.2652904553429707,43793.0,5527.595497846603,0.9896805769044408,0.0322146176119178,0.4322306554919647,0.9861497093058658,0.0461005729751475,0.2773748221195469,43793.0
1497.564684867859,1.1638891696929932,4318.413284301758,13029,0,4318.413284301758,0.9851979551840432,0.0491247817948284,0.2649066492832187,43793.0,5847.857006549835,0.9896650824238344,0.0320217461227094,0.4441616209287713,0.986137531084909,0.0462585949062967,0.2796605340122655,43793.0
