global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.7647291,0.7188685,0.0,,,,,,,,,,,,,,,,,
1,,,,0.5677831768989563,0.7073186039924622,0.0237230059969117,0.5694182515144348,0.7102247476577759,0.0271815721418363,43793.0,0.5687652826309204,0.7113519310951233,0.0281786189970061,43793.0,20.552371501922607,324.9165699481964,20.552371501922607,304.3641505241394,0.0,0.0
100,0.22645444,0.2091879,0.0001783995,,,,,,,,,,,,,,,,,
200,0.03519162,0.07464386,0.000356799,,,,,,,,,,,,,,,,,
300,0.011804328,0.06119409,0.00053519843,,,,,,,,,,,,,,,,,
400,0.010362203,0.05682769,0.0007135979,,,,,,,,,,,,,,,,,
500,0.01259295,0.04880903,0.0008919974,,,,,,,,,,,,,,,,,
594,,,,0.9867029786109924,0.0545090250670909,0.0345375122044974,0.9841280579566956,0.0641259774565696,0.0366974821502298,43793.0,0.9831445813179016,0.0673515573143959,0.0375326926617219,43793.0,260.56081676483154,680.9340195655823,260.56081676483154,420.3262858390808,0.0308566093444824,0.0
600,0.014088498,0.0557592,0.0010703969,,,,,,,,,,,,,,,,,
700,0.017351922,0.061315194,0.0012487964,,,,,,,,,,,,,,,,,
800,0.014355879,0.055480916,0.0014271958,,,,,,,,,,,,,,,,,
900,0.0154964635,0.052575625,0.0014271903,,,,,,,,,,,,,,,,,
1000,0.02168138,0.05425028,0.0014271734,,,,,,,,,,,,,,,,,
1100,0.02442705,0.053150356,0.0014271453,,,,,,,,,,,,,,,,,
1182,,,,0.987052857875824,0.0484379418194294,0.0835743644008625,0.9841402769088744,0.0582416020333766,0.090391715967493,43793.0,0.9830982685089112,0.0615396797657012,0.0875800132179018,43793.0,500.6959056854248,1038.8291821479795,500.6959056854248,538.0435016155243,0.0580599308013916,0.0
1200,0.018882576,0.043655034,0.001427106,,,,,,,,,,,,,,,,,
1300,0.021167623,0.045013506,0.0014270555,,,,,,,,,,,,,,,,,
1400,0.018122038,0.050168604,0.0014269936,,,,,,,,,,,,,,,,,
1500,0.021019768,0.046631627,0.0014269206,,,,,,,,,,,,,,,,,
1600,0.015980912,0.042887304,0.0014268365,,,,,,,,,,,,,,,,,
1700,0.019540211,0.04253639,0.0014267411,,,,,,,,,,,,,,,,,
1764,,,,0.9876845479011536,0.0446965508162975,0.1248738021446069,0.9849075078964232,0.0539210736751556,0.1192236802272183,43793.0,0.9839099049568176,0.0569974333047866,0.1188932897350004,43793.0,740.8034887313843,1396.4852976799011,740.8034887313843,655.5479001998901,0.0859270095825195,0.0
1800,0.020986475,0.043677766,0.0014266346,,,,,,,,,,,,,,,,,
1900,0.018472625,0.047587175,0.0014265167,,,,,,,,,,,,,,,,,
2000,0.023393815,0.049188923,0.0014263875,,,,,,,,,,,,,,,,,
2100,0.0151273655,0.042453036,0.0014262473,,,,,,,,,,,,,,,,,
2200,0.020012507,0.05108234,0.0014260957,,,,,,,,,,,,,,,,,
2300,0.016297441,0.04292527,0.0014259331,,,,,,,,,,,,,,,,,
2351,,,,0.9878480434417723,0.0434006117284297,0.1333842246022964,0.9849902987480164,0.0527383275330066,0.1364892073095265,43793.0,0.984077513217926,0.0557773821055889,0.1383537365526907,43793.0,981.1013731956482,1760.7909915447235,981.1013731956482,779.5107889175415,0.1147711277008056,0.0
2400,0.018947167,0.03808558,0.0014257593,,,,,,,,,,,,,,,,,
2500,0.039609764,0.039363734,0.0014255741,,,,,,,,,,,,,,,,,
2600,0.013456528,0.04066357,0.0014253776,,,,,,,,,,,,,,,,,
2700,0.018887026,0.04478912,0.0014251701,,,,,,,,,,,,,,,,,
2800,0.0218483,0.043076165,0.0014249514,,,,,,,,,,,,,,,,,
2900,0.011766933,0.0395388,0.0014247214,,,,,,,,,,,,,,,,,
2936,,,,0.9879077672958374,0.0421008989214897,0.1688818338979948,0.985180675983429,0.0514633357524871,0.1548332026526468,43793.0,0.9842737913131714,0.0546042621135711,0.1603817327832859,43793.0,1221.077184677124,2123.0205223560333,1221.077184677124,901.7208189964294,0.142547607421875,0.0
3000,0.016568443,0.042026855,0.0014244803,,,,,,,,,,,,,,,,,
3100,0.01411633,0.04466583,0.0014242281,,,,,,,,,,,,,,,,,
3200,0.015886437,0.039636124,0.0014239646,,,,,,,,,,,,,,,,,
3300,0.013700455,0.04470224,0.00142369,,,,,,,,,,,,,,,,,
3400,0.02981794,0.043884613,0.0014234041,,,,,,,,,,,,,,,,,
3500,0.026359499,0.04629519,0.0014231071,,,,,,,,,,,,,,,,,
3502,,,,0.988148272037506,0.0411345437169075,0.1799581040642475,0.9854149222373962,0.0501539856195449,0.1655248108112372,43793.0,0.9845488667488098,0.0527853854000568,0.1693720813871624,43793.0,1461.180500984192,2492.947585582733,1461.180500984192,1031.4991767406464,0.1694178581237793,0.0
3600,0.03060889,0.041357603,0.001422799,,,,,,,,,,,,,,,,,
3700,0.023585167,0.04547399,0.0014224797,,,,,,,,,,,,,,,,,
3800,0.011737175,0.04271739,0.0014221492,,,,,,,,,,,,,,,,,
3900,0.021811567,0.049566902,0.0014218076,,,,,,,,,,,,,,,,,
4000,0.0172059,0.040716995,0.0014214548,,,,,,,,,,,,,,,,,
4087,,,,0.9884056448936462,0.0400183349847793,0.1923655097058301,0.9855079054832458,0.0492187924683094,0.1738447201684185,43793.0,0.9846495389938354,0.0518661551177501,0.1732955052042358,43793.0,1701.3024022579193,2859.774225473404,1701.3024022579193,1158.1607134342194,0.1965663433074951,0.0
4100,0.01254342,0.035074744,0.0014210908,,,,,,,,,,,,,,,,,
4200,0.013064302,0.04008942,0.0014207158,,,,,,,,,,,,,,,,,
4300,0.013747684,0.04333858,0.0014203297,,,,,,,,,,,,,,,,,
4400,0.014259011,0.03857963,0.0014199325,,,,,,,,,,,,,,,,,
