accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
132.18779301643372,0.0,106.53982758522034,1,0,106.53982758522034,0.0031,6.86665234375,10000.0,239.4901008605957,0.0037109375,6.859810791015625,0.0041,6.86249625,50000.0
221.47419095039368,0.0321159362792968,618.6529169082642,6,0,618.6529169082642,0.0269,6.0405703125,10000.0,841.9307203292847,0.0410546875,5.898536987304688,0.03636,5.924388125,50000.0
318.868768453598,0.0794703960418701,1132.7845029830933,11,0,1132.7845029830933,0.0617,5.509363671875,10000.0,1454.5378210544586,0.0825390625,5.288076171875,0.07728,5.324509375,50000.0
409.6229465007782,0.1476914882659912,1646.8730325698853,16,0,1646.8730325698853,0.0854,5.20014765625,10000.0,2060.4747500419617,0.12396484375,4.87936279296875,0.11376,4.93889625,50000.0
504.9689292907715,0.171581745147705,2161.521206855774,21,0,2161.521206855774,0.1138,4.85032578125,10000.0,2671.548342704773,0.164921875,4.4885931396484375,0.15134,4.56114,50000.0
601.2274882793427,0.2021923065185547,2676.7782967090607,26,0,2676.7782967090607,0.1864,4.3077484375,10000.0,3284.21493601799,0.25890625,3.822030944824218,0.23754,3.934641875,50000.0
699.400577545166,0.2343082427978515,3192.658549785614,31,0,3192.658549785614,0.2103,4.07607734375,10000.0,3899.442272901535,0.29443359375,3.536956787109375,0.27596,3.6545565625,50000.0
796.700731754303,0.2711756229400635,3708.605149030685,36,0,3708.605149030685,0.2426,3.84414609375,10000.0,4513.830748081207,0.3427734375,3.2422442626953125,0.31576,3.3809234375,50000.0
892.6477599143982,0.3024437427520752,4224.285115003586,41,0,4224.285115003586,0.2841,3.554986328125,10000.0,5126.585787296295,0.3934375,2.923077392578125,0.36358,3.074459375,50000.0
983.8734836578368,0.3286914825439453,4740.058915615082,46,0,4740.058915615082,0.3062,3.439873828125,10000.0,5734.677758932114,0.42396484375,2.7590185546875,0.38966,2.92087375,50000.0
1084.0106792449951,0.3699233531951904,5255.293391942978,51,0,5255.293391942978,0.3208,3.37332890625,10000.0,6351.101885318756,0.4401953125,2.6940817260742187,0.4011,2.869636875,50000.0
1175.4422588348389,0.4289619922637939,5770.458627939224,56,0,5770.458627939224,0.3376,3.2011705078125,10000.0,6958.951281070709,0.477578125,2.451848602294922,0.43594,2.638631875,50000.0
1271.852075099945,0.4562759399414062,6285.863219261169,61,0,6285.863219261169,0.3469,3.1679888671875,10000.0,7571.9079167842865,0.485078125,2.425434265136719,0.44594,2.60653375,50000.0
1365.143397808075,0.4949069023132324,6801.313307762146,66,0,6801.313307762146,0.355,3.120593359375,10000.0,8181.843944311142,0.4940625,2.367378387451172,0.45626,2.55316625,50000.0
1463.1648988723755,0.5549948215484619,7316.520300626755,71,0,7316.520300626755,0.3688,3.0533876953125,10000.0,8796.157343864441,0.51029296875,2.2901712036132813,0.46692,2.49052203125,50000.0
1562.918967485428,0.5870907306671143,7831.909515142441,76,0,7831.909515142441,0.3776,3.0245451171875,10000.0,9412.546514987946,0.51634765625,2.279646301269531,0.47224,2.480320625,50000.0
1660.8283338546753,0.616497278213501,8347.488837242126,81,0,8347.488837242126,0.3828,2.910021875,10000.0,10027.220200538635,0.53130859375,2.123171844482422,0.48848,2.320870625,50000.0
1761.3414149284365,0.6485342979431152,8862.624611616135,86,0,8862.624611616135,0.3959,2.896728515625,10000.0,10644.002983093262,0.54078125,2.127067413330078,0.49432,2.33850765625,50000.0
1862.0220947265625,0.6768064498901367,9378.152541399002,91,0,9378.152541399002,0.4014,2.8713669921875,10000.0,11261.409729719162,0.55375,2.05916748046875,0.5101,2.269819375,50000.0
1960.3145322799685,0.71036696434021,9893.583389997482,96,0,9893.583389997482,0.4127,2.7550716796875,10000.0,11876.366394519806,0.57142578125,1.938399200439453,0.52546,2.15576,50000.0
2052.5878899097443,0.7391109466552734,10409.121736049652,101,0,10409.121736049652,0.4085,2.800626953125,10000.0,12485.343214511871,0.5696484375,1.9801646423339845,0.51982,2.2029015625,50000.0
2150.20135641098,0.7786002159118652,10923.96439385414,106,0,10923.96439385414,0.4175,2.7766083984375,10000.0,13098.853749275208,0.57208984375,1.953618621826172,0.52438,2.1701028125,50000.0
2242.215868711472,0.8363852500915527,11438.57772064209,111,0,11438.57772064209,0.4207,2.742269140625,10000.0,13706.60507273674,0.5803515625,1.921454162597656,0.5375,2.130719375,50000.0
2333.6552731990814,0.862971305847168,11954.203148126602,116,0,11954.203148126602,0.4259,2.7326576171875,10000.0,14314.731231927872,0.5811328125,1.917217712402344,0.5303,2.14082578125,50000.0
2425.7294132709503,0.8942775726318359,12468.951380491257,121,0,12468.951380491257,0.4242,2.752751953125,10000.0,14922.58737373352,0.57912109375,1.952438507080078,0.53348,2.15961921875,50000.0
2523.54740357399,0.9298360347747804,12983.872349500656,126,0,12983.872349500656,0.436,2.6349078125,10000.0,15536.39250588417,0.597265625,1.7994091796875,0.54964,2.0202828125,50000.0
2624.568262577057,0.9638278484344482,13499.078790903091,131,0,13499.078790903091,0.4357,2.6470861328125,10000.0,16153.719452381134,0.5941796875,1.819244995117188,0.54712,2.0410215625,50000.0
2716.4274187088013,0.9931182861328124,14014.927213668823,136,0,14014.927213668823,0.4302,2.6621033203125,10000.0,16762.58905482292,0.5971875,1.8262335205078124,0.55034,2.0479953125,50000.0
2815.491082429886,1.022524118423462,14529.975266456604,141,0,14529.975266456604,0.4422,2.6446,10000.0,17377.771822690964,0.59904296875,1.8028195190429688,0.55078,2.02871578125,50000.0
2908.7754411697388,1.051478147506714,15045.652549505234,146,0,15045.652549505234,0.4498,2.591307421875,10000.0,17987.89744734764,0.6105078125,1.766762237548828,0.56244,1.98958765625,50000.0
3004.920799970627,1.1112630367279053,15560.840121269226,151,0,15560.840121269226,0.4509,2.551551953125,10000.0,18600.38348436356,0.61412109375,1.7248362731933593,0.56292,1.9523203125,50000.0
3096.6077427864075,1.1499595642089844,16076.642593860626,156,0,16076.642593860626,0.4548,2.5635521484375,10000.0,19208.972120523453,0.6123046875,1.7274383544921874,0.56606,1.9509453125,50000.0
3197.1478958129883,1.1843669414520264,16591.817606925964,161,0,16591.817606925964,0.4544,2.555936328125,10000.0,19825.83930063248,0.6181640625,1.7310064697265626,0.56634,1.95539515625,50000.0
3294.217999458313,1.211467981338501,17107.482741832733,166,0,17107.482741832733,0.4555,2.5172859375,10000.0,20439.723108291622,0.62154296875,1.6782359313964843,0.57264,1.89654921875,50000.0
3394.6201174259186,1.2403552532196045,17622.56792449951,171,0,17622.56792449951,0.4606,2.52940859375,10000.0,21056.392760276794,0.6191796875,1.698523101806641,0.57148,1.922108125,50000.0
3489.0960144996643,1.2678771018981934,18137.58137655258,176,0,18137.58137655258,0.4561,2.5115734375,10000.0,21667.06792354584,0.62787109375,1.6773855590820312,0.57834,1.90029125,50000.0
3580.9067800045013,1.2975945472717283,18652.846486091614,181,0,18652.846486091614,0.4555,2.528823828125,10000.0,22275.206253767014,0.6297265625,1.696073760986328,0.57938,1.9222615625,50000.0
3672.84907913208,1.3275113105773926,19168.626690149307,186,0,19168.626690149307,0.4681,2.4728759765625,10000.0,22883.909136533737,0.632109375,1.654020538330078,0.58262,1.8744534375,50000.0
3770.8431854248047,1.357280731201172,19683.60470080376,191,0,19683.60470080376,0.462,2.504606640625,10000.0,23498.010255098343,0.6278125,1.671029052734375,0.58208,1.89201109375,50000.0
3869.911328792572,1.38555908203125,20197.96736598015,196,0,20197.96736598015,0.4691,2.458586328125,10000.0,24112.58499932289,0.6337890625,1.6465875244140624,0.58492,1.8730884375,50000.0
3967.22377371788,1.4471330642700195,20713.14840078354,201,0,20713.14840078354,0.4726,2.4602857421875,10000.0,24726.226561307907,0.63326171875,1.634224853515625,0.58416,1.8614684375,50000.0
4066.745203733444,1.4778013229370115,21228.39622926712,206,0,21228.39622926712,0.4662,2.5052923828125,10000.0,25342.12978219986,0.6357421875,1.6718864440917969,0.58146,1.9017259375,50000.0
4162.72178030014,1.5085880756378174,21743.02213215828,211,0,21743.02213215828,0.4725,2.441773046875,10000.0,25953.8852622509,0.6382421875,1.6041766357421876,0.58788,1.82946078125,50000.0
4261.318078994751,1.5401804447174072,22258.10674381256,216,0,22258.10674381256,0.47,2.46673203125,10000.0,26568.66330766678,0.63935546875,1.6210687255859375,0.5859,1.85896890625,50000.0
4352.40536570549,1.570857286453247,22772.93254184723,221,0,22772.93254184723,0.4855,2.3963046875,10000.0,27175.701092481613,0.644296875,1.5695941162109377,0.59654,1.8001371875,50000.0
4443.739603757858,1.6143019199371338,23287.847071647644,226,0,23287.847071647644,0.4862,2.4173310546875,10000.0,27783.02889895439,0.64353515625,1.5977897644042969,0.59168,1.8310440625,50000.0
4541.101802110672,1.6511342525482178,23802.515115976334,231,0,23802.515115976334,0.4774,2.4516234375,10000.0,28396.11740255356,0.64900390625,1.599389495849609,0.59772,1.8238959375,50000.0
