global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
87,0.26657173,0.2780465,0.04686153,,,,,,,,,,,,,,
88,0.30560565,0.3544382,0.047400117,,,,,,,,,,,,,,
89,0.46998292,0.3532147,0.047938943,,,,,,,,,,,,,,
90,0.30609596,0.3034991,0.04847753,,,,,,,,,,,,,,
91,0.20606798,0.38771138,0.049016118,,,,,,,,,,,,,,
92,0.536979,0.35684246,0.049554706,,,,,,,,,,,,,,
93,0.5050798,0.38379362,0.050093412,,,,,,,,,,,,,,
94,0.25876445,0.37709028,0.050632,,,,,,,,,,,,,,
95,0.3751775,0.29245448,0.051170588,,,,,,,,,,,,,,
96,0.48159325,0.3126129,0.051709294,,,,,,,,,,,,,,
97,0.6684674,0.28603017,0.052248,,,,,,,,,,,,,,
98,0.6499398,0.3387791,0.05278659,,,,,,,,,,,,,,
99,0.52734786,0.31083477,0.053325176,,,,,,,,,,,,,,
321,,,,0.654252256665911,0.3419088636125837,0.6303124285576112,0.36271575601435,3554.0,0.648336053127618,0.3660141796547752,3581.0,145.35190224647522,373.7313077449799,145.35190224647522,228.3385124206543,0.0297458171844482,0.0
533,,,,0.6649165834699359,0.3590606961931501,0.6452061057962859,0.3785312805004044,3554.0,0.6626858086733803,0.3808743397772096,3581.0,225.50331449508667,457.9543266296387,225.50331449508667,232.36029648780823,0.072451114654541,0.0
746,,,,0.6675048555646624,0.3435449600219726,0.6486953795459341,0.3656016507038724,3554.0,0.665922154797019,0.3669961621993682,3581.0,305.6889374256134,542.2081382274628,305.6889374256134,236.3780212402344,0.1156580448150634,0.0
952,,,,0.5414124216352191,0.4158227784293039,0.5412940442327308,0.4360850285329909,3554.0,0.5545621572077457,0.4375209302350949,3581.0,385.7479276657105,626.327718257904,385.7479276657105,240.3960697650909,0.1512651443481445,0.0
1285,,,,0.620530264718192,0.549180405480521,0.6101941831606992,0.5547334223432224,3554.0,0.6266929628595365,0.5588289594823374,3581.0,464.4876391887665,710.4805111885071,464.4876391887665,244.41404557228088,1.5347952842712402,0.0
1630,,,,0.3157329899924142,0.6215120724269322,0.3074125462726857,0.6393441204013084,3554.0,0.3344670998520839,0.6401616714081262,3581.0,544.5658872127533,794.6104595661163,544.5658872127533,248.42769312858584,1.5609188079833984,0.0
1977,,,,0.5379025254930768,0.8822154317583356,0.5289203942191018,0.8790858176966094,3554.0,0.5469377907052848,0.8821492774364703,3581.0,624.5510947704315,878.6546988487244,624.5510947704315,252.44891333580017,1.5870051383972168,0.0
2320,,,,0.2770955392292568,0.7492348807198661,0.2711051807822172,0.7663547427854178,3554.0,0.2943522249044435,0.7657504450572465,3581.0,704.6180763244629,962.7819683551788,704.6180763244629,256.47107100486755,1.6130270957946775,0.0
2666,,,,0.1222418972424098,0.999542372567313,0.1093000198390018,1.0157349113674732,3554.0,0.1315419597354091,1.0139906008927324,3581.0,784.6741466522217,1046.896198272705,784.6741466522217,260.4906358718872,1.6390399932861328,0.0
3012,,,,0.0792795249394008,1.079211303165981,0.064004914171587,1.0976117358961732,3554.0,0.0855852908443652,1.0955237522034698,3581.0,864.8301672935486,1131.1026763916016,864.8301672935486,264.50317764282227,1.6650595664978027,0.0
3354,,,,0.0708453484943934,1.1239125388009208,0.0557553275757179,1.1440806820879643,3554.0,0.0777701234324822,1.142182973069673,3581.0,944.848669052124,1215.1748733520508,944.848669052124,268.5196142196655,1.6903424263000488,0.0
3701,,,,0.4082630021231515,1.8075042452131,0.4003729017919949,1.7971260100854671,3554.0,0.418943199023492,1.7998530929296983,3581.0,1024.860512495041,1299.2339622974396,1024.860512495041,272.52956676483154,1.715883731842041,0.0
4047,,,,0.3922695432390485,1.6968954631260462,0.3800105844646876,1.6828082958901942,3554.0,0.4005132407257923,1.685574282017942,3581.0,1105.0727381706238,1383.4997334480286,1105.0727381706238,276.5450541973114,1.7422499656677246,0.0
4388,,,,0.0491441871438707,1.142014980316162,0.032949502372849,1.1620335361564431,3554.0,0.0552312387031271,1.1609288279286512,3581.0,1185.1601407527924,1467.6403124332428,1185.1601407527924,280.5611474514008,1.7675929069519043,0.0
