global_step,grad_norm,loss,lr,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.6655489,6.9343414,0.0,,,,,,,,,,,,,,
1,,,,0.0009964923374354,6.911333084106445,0.0009599999757483,6.9111008644104,50000.0,0.0007000000332482,6.91068696975708,10000.0,58.03515911102295,96.004079580307,58.03515911102295,37.968831062316895,0.0,0.0
1,0.6642516,6.9280996,1.2749806e-06,,,,,,,,,,,,,,
2,0.7021593,6.9196615,2.550194e-06,,,,,,,,,,,,,,
3,0.6505229,6.9295535,3.8251746e-06,,,,,,,,,,,,,,
4,0.682005,6.931384,5.1001552e-06,,,,,,,,,,,,,,
5,0.68868834,6.9213753,6.3753687e-06,,,,,,,,,,,,,,
6,0.6672404,6.921549,7.650349e-06,,,,,,,,,,,,,,
7,0.665752,6.9175644,8.92533e-06,,,,,,,,,,,,,,
8,0.672563,6.9304943,1.0200543e-05,,,,,,,,,,,,,,
9,0.6568045,6.9186726,1.1475524e-05,,,,,,,,,,,,,,
10,0.6915902,6.9144,1.27505045e-05,,,,,,,,,,,,,,
11,0.67300034,6.9173484,1.4025718e-05,,,,,,,,,,,,,,
12,0.6686134,6.921033,1.5300699e-05,,,,,,,,,,,,,,
13,0.6869965,6.9232464,1.657568e-05,,,,,,,,,,,,,,
14,0.6719597,6.9095116,1.7850893e-05,,,,,,,,,,,,,,
15,0.659664,6.9190164,1.9125873e-05,,,,,,,,,,,,,,
16,0.69218457,6.9160395,2.0400854e-05,,,,,,,,,,,,,,
17,0.6772454,6.915409,2.1676067e-05,,,,,,,,,,,,,,
18,0.6586292,6.909843,2.2951048e-05,,,,,,,,,,,,,,
19,0.65605164,6.907134,2.4226028e-05,,,,,,,,,,,,,,
20,0.6758767,6.9089622,2.5501242e-05,,,,,,,,,,,,,,
21,0.6749955,6.9135485,2.6776223e-05,,,,,,,,,,,,,,
22,0.64280623,6.893277,2.8051203e-05,,,,,,,,,,,,,,
23,0.673445,6.8948016,2.9326184e-05,,,,,,,,,,,,,,
24,0.66944516,6.8969293,3.0601397e-05,,,,,,,,,,,,,,
25,0.68400127,6.880554,3.1876378e-05,,,,,,,,,,,,,,
26,0.66759557,6.902289,3.315136e-05,,,,,,,,,,,,,,
27,0.67069036,6.888784,3.442657e-05,,,,,,,,,,,,,,
28,0.64994276,6.884957,3.5701552e-05,,,,,,,,,,,,,,
29,0.6572681,6.889123,3.6976533e-05,,,,,,,,,,,,,,
30,0.68084407,6.882583,3.8251746e-05,,,,,,,,,,,,,,
31,0.666527,6.888139,3.9526727e-05,,,,,,,,,,,,,,
32,0.6836456,6.8691797,4.0801708e-05,,,,,,,,,,,,,,
33,0.66605586,6.8822556,4.207692e-05,,,,,,,,,,,,,,
34,0.66292495,6.869383,4.33519e-05,,,,,,,,,,,,,,
35,0.6842032,6.880048,4.4626882e-05,,,,,,,,,,,,,,
36,0.659881,6.873492,4.5902096e-05,,,,,,,,,,,,,,
37,0.6692517,6.865057,4.7177076e-05,,,,,,,,,,,,,,
38,0.6606765,6.866356,4.8452057e-05,,,,,,,,,,,,,,
39,0.66758305,6.8501616,4.972727e-05,,,,,,,,,,,,,,
40,0.673075,6.859516,5.100225e-05,,,,,,,,,,,,,,
41,0.68500805,6.862893,5.227723e-05,,,,,,,,,,,,,,
42,0.66235334,6.856204,5.3552445e-05,,,,,,,,,,,,,,
43,0.6712058,6.853456,5.4827426e-05,,,,,,,,,,,,,,
44,0.68564004,6.8468165,5.6102406e-05,,,,,,,,,,,,,,
45,0.6842916,6.836628,5.737762e-05,,,,,,,,,,,,,,
46,0.67851526,6.8397856,5.86526e-05,,,,,,,,,,,,,,
47,0.6768685,6.839617,5.992758e-05,,,,,,,,,,,,,,
48,0.6798757,6.835932,6.1202794e-05,,,,,,,,,,,,,,
49,0.6687084,6.8265295,6.2477775e-05,,,,,,,,,,,,,,
50,0.6900295,6.8217483,6.3752756e-05,,,,,,,,,,,,,,
51,0.6945764,6.8398933,6.502797e-05,,,,,,,,,,,,,,
52,0.69330746,6.8366137,6.630295e-05,,,,,,,,,,,,,,
53,0.7086897,6.8178654,6.757793e-05,,,,,,,,,,,,,,
54,0.65996623,6.8172374,6.885314e-05,,,,,,,,,,,,,,
55,0.6974002,6.8011055,7.0128124e-05,,,,,,,,,,,,,,
56,0.68488866,6.82236,7.1403105e-05,,,,,,,,,,,,,,
57,0.6861172,6.7959957,7.267832e-05,,,,,,,,,,,,,,
58,0.69157904,6.8125772,7.39533e-05,,,,,,,,,,,,,,
59,0.69511676,6.801363,7.522828e-05,,,,,,,,,,,,,,
60,0.7014107,6.791913,7.650349e-05,,,,,,,,,,,,,,
61,0.7029713,6.798928,7.777847e-05,,,,,,,,,,,,,,
62,0.6632663,6.77486,7.9053454e-05,,,,,,,,,,,,,,
63,0.6941951,6.809914,8.032867e-05,,,,,,,,,,,,,,
64,0.70649266,6.7649417,8.160365e-05,,,,,,,,,,,,,,
65,0.69591194,6.7830324,8.287863e-05,,,,,,,,,,,,,,
66,0.70821494,6.8030787,8.415384e-05,,,,,,,,,,,,,,
67,0.7085439,6.770546,8.542882e-05,,,,,,,,,,,,,,
68,0.7137572,6.7662115,8.67038e-05,,,,,,,,,,,,,,
69,0.7277712,6.7609043,8.7978784e-05,,,,,,,,,,,,,,
70,0.7384672,6.737643,8.9254e-05,,,,,,,,,,,,,,
71,0.6941834,6.772412,9.052898e-05,,,,,,,,,,,,,,
72,0.6828914,6.7528124,9.180396e-05,,,,,,,,,,,,,,
73,0.7298967,6.754419,9.307917e-05,,,,,,,,,,,,,,
74,0.73392934,6.7390237,9.435415e-05,,,,,,,,,,,,,,
75,0.71852297,6.754774,9.562913e-05,,,,,,,,,,,,,,
76,0.70784557,6.735895,9.690435e-05,,,,,,,,,,,,,,
77,0.7235468,6.7343154,9.817933e-05,,,,,,,,,,,,,,
78,0.7204356,6.73635,9.945431e-05,,,,,,,,,,,,,,
79,0.71326673,6.730119,0.00010072952,,,,,,,,,,,,,,
80,0.7253151,6.7203226,0.0001020045,,,,,,,,,,,,,,
81,0.7451868,6.7250123,0.00010327948,,,,,,,,,,,,,,
82,0.74618685,6.716352,0.000104554696,,,,,,,,,,,,,,
83,0.7335333,6.7027836,0.00010582968,,,,,,,,,,,,,,
84,0.7485851,6.710497,0.00010710466,,,,,,,,,,,,,,
85,0.75878423,6.6810822,0.00010837987,,,,,,,,,,,,,,
86,0.74656427,6.69858,0.00010965485,,,,,,,,,,,,,,
87,0.7716698,6.689943,0.00011092983,,,,,,,,,,,,,,
88,0.7383317,6.6833296,0.000112205045,,,,,,,,,,,,,,
89,0.74699366,6.673973,0.000113480026,,,,,,,,,,,,,,
90,0.74865204,6.669483,0.00011475501,,,,,,,,,,,,,,
91,0.75006676,6.673448,0.00011603022,,,,,,,,,,,,,,
92,0.7415795,6.7003913,0.0001173052,,,,,,,,,,,,,,
93,0.787491,6.6652,0.00011858018,,,,,,,,,,,,,,
94,0.7610468,6.647499,0.000119855395,,,,,,,,,,,,,,
95,0.7860075,6.682752,0.000121130375,,,,,,,,,,,,,,
96,0.7762084,6.6719775,0.00012240536,,,,,,,,,,,,,,
97,0.7719608,6.6642303,0.00012368057,,,,,,,,,,,,,,
98,0.77550006,6.6290255,0.00012495555,,,,,,,,,,,,,,
99,0.77337265,6.6550035,0.00012623076,,,,,,,,,,,,,,
1500,,,,0.2366469949483871,3.727660417556762,0.2140799909830093,3.9095208644866943,50000.0,0.1584000140428543,4.454977989196777,10000.0,568.2004470825195,624.6895482540131,568.2004470825195,56.41292810440064,0.0299160480499267,0.0
3003,,,,0.3772719800472259,2.837270498275757,0.3497399985790252,3.001444101333618,50000.0,0.2577000260353088,3.701292753219605,10000.0,1078.3522074222565,1153.2206771373749,1078.3522074222565,74.71774172782898,0.0573678016662597,0.0
4507,,,,0.3967434465885162,2.7051126956939697,0.3787199854850769,2.8401057720184326,50000.0,0.2848000228404999,3.575193166732788,10000.0,1588.3257632255554,1681.3344106674194,1588.3257632255554,92.78364086151124,0.0850594043731689,0.0
6014,,,,0.4154974520206451,2.615487575531006,0.3917399942874908,2.754087448120117,50000.0,0.2934000194072723,3.512707471847534,10000.0,2098.432863473892,2209.350600719452,2098.432863473892,110.61718225479126,0.1137571334838867,0.0
7522,,,,0.4174505770206451,2.6030404567718506,0.3952800035476684,2.734006881713867,50000.0,0.297400027513504,3.4509353637695312,10000.0,2608.495789527893,2737.430317401886,2608.495789527893,128.55576252937317,0.1452221870422363,0.0
9031,,,,0.4338926970958709,2.5213286876678467,0.4092399775981903,2.665419578552246,50000.0,0.3053000271320343,3.413594007492065,10000.0,3118.571788072586,3265.610540151596,3118.571788072586,146.5832953453064,0.1750464439392089,0.0
10542,,,,0.4518295526504516,2.3898680210113525,0.4126800000667572,2.633660793304444,50000.0,0.3123000264167785,3.33831000328064,10000.0,3628.788165092468,3794.654795885086,3628.788165092468,165.32836484909058,0.2098710536956787,0.0
12055,,,,0.4545798599720001,2.3908557891845703,0.4215999841690063,2.574769258499145,50000.0,0.3167000114917755,3.304705619812012,10000.0,4138.79493522644,4326.642019748688,4138.79493522644,187.2088108062744,0.2631754875183105,0.0
13568,,,,0.4760443270206451,2.2539620399475098,0.4454599916934967,2.424204111099243,50000.0,0.3525000214576721,3.077575922012329,10000.0,4648.937111854553,4860.264208555222,4648.937111854553,210.60751676559448,0.2980544567108154,0.0
15083,,,,0.4420639276504516,2.4797871112823486,0.4182199835777282,2.6032516956329346,50000.0,0.3142000138759613,3.3655989170074463,10000.0,5159.036199331284,5395.195597887039,5159.036199331284,235.35638761520383,0.3354065418243408,0.0
16598,,,,0.4667370617389679,2.319088935852051,0.4458400011062622,2.4519784450531006,50000.0,0.3336000144481659,3.219675064086914,10000.0,5668.974274396896,5928.909932851791,5668.974274396896,258.94011640548706,0.4791769981384277,0.0
18113,,,,0.4763233363628387,2.275209188461304,0.4402799904346466,2.469749927520752,50000.0,0.3372000157833099,3.1553313732147217,10000.0,6178.81248664856,6462.989349842072,6178.81248664856,282.9643156528473,0.6464903354644775,0.0
19629,,,,0.4695073366165161,2.313912868499756,0.4294399917125702,2.535555601119995,50000.0,0.3339000046253204,3.230332374572754,10000.0,6688.96556520462,6996.916468858719,6688.96556520462,306.62974548339844,0.7091629505157471,0.0
21144,,,,0.455078125,2.4016387462615967,0.4221400022506714,2.5873348712921143,50000.0,0.3299000263214111,3.2346324920654297,10000.0,7198.760110139847,7537.772540330887,7198.760110139847,337.4846694469452,0.867851734161377,0.0
22660,,,,0.447664201259613,2.42931866645813,0.4185799956321716,2.5950820446014404,50000.0,0.3168000280857086,3.306182622909546,10000.0,7708.708641052246,8071.72559928894,7708.708641052246,361.3757975101471,0.9345202445983888,0.0
24177,,,,0.4778579175472259,2.267487049102783,0.4463799893856048,2.4398512840271,50000.0,0.3476000130176544,3.1483242511749268,10000.0,8218.966495990753,8605.578684568405,8218.966495990753,384.8969326019287,0.963606595993042,0.0
25694,,,,0.4667569994926452,2.3230412006378174,0.446179986000061,2.453613758087158,50000.0,0.3448000252246856,3.195398092269897,10000.0,8729.211000919342,9140.658933877943,8729.211000919342,409.6584913730621,0.9917395114898682,0.0
27211,,,,0.4888392686843872,2.187833786010742,0.4330199956893921,2.510678768157959,50000.0,0.3299000263214111,3.2284326553344727,10000.0,9239.252230882645,9674.943035840988,9239.252230882645,433.8293704986572,1.0189766883850098,0.0
28728,,,,0.4632493555545807,2.338789224624634,0.4314000010490417,2.541869163513184,50000.0,0.331900030374527,3.2374937534332275,10000.0,9749.447048664091,10208.861038446426,9749.447048664091,457.46468591690063,1.060861110687256,0.0
30245,,,,0.4727160334587097,2.2894015312194824,0.443259984254837,2.4479856491088867,50000.0,0.3396000266075134,3.1980199813842773,10000.0,10259.448348283768,10742.728008031843,10259.448348283768,481.2212052345276,1.1241073608398438,0.0
31763,,,,0.4102160334587097,2.683755874633789,0.3898399770259857,2.8040175437927246,50000.0,0.3030000030994415,3.471265316009521,10000.0,10769.652704954147,11278.447390556335,10769.652704954147,506.61067485809326,1.203235149383545,0.0
33281,,,,0.5024912357330322,2.151307821273804,0.4734599888324737,2.3033106327056885,50000.0,0.3582000136375427,3.059372901916504,10000.0,11279.85792016983,11813.691412210464,11279.85792016983,531.538809299469,1.2669901847839355,0.0
34798,,,,0.4580675959587097,2.393021821975708,0.4340399801731109,2.5374531745910645,50000.0,0.3314000070095062,3.263195753097534,10000.0,11789.88370871544,12347.865009784698,11789.88370871544,555.5736331939697,1.334589958190918,0.0
36317,,,,0.5031290054321289,2.142277956008911,0.4482599794864654,2.434159994125366,50000.0,0.3446000218391418,3.145692825317383,10000.0,12300.060922384262,12881.95607638359,12300.060922384262,579.3848178386688,1.3915839195251465,0.0
37835,,,,0.4832589328289032,2.213935375213623,0.446179986000061,2.4464213848114014,50000.0,0.3455000221729278,3.1971874237060547,10000.0,12810.00618171692,13414.734609365463,12810.00618171692,602.1084523200989,1.4550931453704834,0.0
39356,,,,0.4892976582050323,2.2070000171661377,0.4594199955463409,2.37459397315979,50000.0,0.3514000177383423,3.113594055175781,10000.0,13320.19948744774,13944.597810983658,13320.19948744774,621.6792430877686,1.5092346668243408,0.0
40875,,,,0.4881018698215484,2.22363805770874,0.4632999897003174,2.3733363151550293,50000.0,0.3518000245094299,3.113149642944336,10000.0,13830.283268213272,14473.05586361885,13830.283268213272,639.9450912475586,1.5719366073608398,0.0
42394,,,,0.4678930044174194,2.3244993686676025,0.4502999782562256,2.447713613510132,50000.0,0.3371000289916992,3.2068405151367188,10000.0,14340.19565796852,15002.077931880953,14340.19565796852,658.9488246440887,1.6323919296264648,0.0
43914,,,,0.496113657951355,2.163515090942383,0.4740799963474273,2.3016042709350586,50000.0,0.3689000308513641,3.002902746200561,10000.0,14850.23757648468,15530.36650466919,14850.23757648468,677.0837762355804,1.6988317966461182,0.0
45435,,,,0.5184351205825806,2.066455364227295,0.4681399762630462,2.3287761211395264,50000.0,0.3736000061035156,2.982602119445801,10000.0,15360.225975751877,16060.756699085236,15360.225975751877,697.3739807605743,1.7635900974273682,0.0
46955,,,,0.5197106003761292,2.05129337310791,0.4842199981212616,2.2391459941864014,50000.0,0.3789000213146209,2.919224739074707,10000.0,15870.156173467636,16591.36421751976,15870.156173467636,717.9498748779297,1.819737195968628,0.0
48475,,,,0.5121572017669678,2.063295125961304,0.4853599965572357,2.223763465881348,50000.0,0.3780000209808349,2.95226788520813,10000.0,16380.141358852386,17119.80269932747,16380.141358852386,736.2885105609894,1.8893074989318848,0.0
