global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.1326413,0.8634358,0.0,,,,,,,,,,,,,,
1,,,,0.2613378252301897,0.8711872100830078,0.2579133952006102,0.8747790781513787,3554.0,0.2808590409343584,0.8735652903344038,3581.0,61.81854224205017,284.6405363082886,61.81854224205017,222.8218915462494,0.0,0.0
100,0.09273317,0.2513901,0.00039534504,,,,,,,,,,,,,,
200,0.11172453,0.3839932,0.0007906902,,,,,,,,,,,,,,
300,0.55561244,0.39078662,0.0011860352,,,,,,,,,,,,,,
309,,,,0.7131028856549945,0.2963403974260603,0.6909737487689926,0.3181568633054305,3554.0,0.7090375527960067,0.3197875397060877,3581.0,142.35656833648682,369.67693400383,142.35656833648682,227.2769551277161,0.0300478935241699,0.0
400,0.100216635,0.27095333,0.0014271917,,,,,,,,,,,,,,
500,0.22373897,0.22471043,0.0014271429,,,,,,,,,,,,,,
508,,,,0.7219277109418597,0.2866177218300955,0.6996943227481359,0.3077350674416151,3554.0,0.7170623549200642,0.3098259068041399,3581.0,222.5811719894409,453.9543595314026,222.5811719894409,231.28576231002808,0.0653307437896728,0.0
600,0.090806834,0.3714508,0.0014270392,,,,,,,,,,,,,,
700,0.17455325,0.2693426,0.0014268806,,,,,,,,,,,,,,
703,,,,0.719346114567348,0.2909845624651228,0.698497387956352,0.3121817035492579,3554.0,0.7154668165098785,0.3145232106080703,3581.0,302.89970874786377,538.3318917751312,302.89970874786377,235.2947015762329,0.1076400279998779,0.0
800,0.08845022,0.24156559,0.0014266672,,,,,,,,,,,,,,
900,,,,0.7318439483642578,0.2766862256186349,0.7093325192564716,0.2980138878508371,3554.0,0.7265818621718794,0.2998065282698617,3581.0,383.0662386417389,622.546365737915,383.0662386417389,239.29777908325195,0.1448123455047607,0.0
900,0.08318401,0.27173147,0.001426399,,,,,,,,,,,,,,
1000,0.21229328,0.24735215,0.001426076,,,,,,,,,,,,,,
1100,0.3381612,0.2678825,0.0014256982,,,,,,,,,,,,,,
1193,,,,0.7355781282697406,0.2734013455254691,0.7121130707697313,0.2951740185464441,3554.0,0.7291963007888858,0.2971295375658859,3581.0,463.2155692577362,706.7510113716125,463.2155692577362,243.3066275119781,0.1799051761627197,0.0
1200,0.077810936,0.20934911,0.0014252657,,,,,,,,,,,,,,
1300,0.17112657,0.25644866,0.0014247784,,,,,,,,,,,,,,
1400,0.19746538,0.2607028,0.0014242363,,,,,,,,,,,,,,
1500,0.2503503,0.36147803,0.0014236398,,,,,,,,,,,,,,
1536,,,,0.7375309126717704,0.2718749557222639,0.7148306980251126,0.293412379756964,3554.0,0.7320559026808154,0.2950334801949525,3581.0,543.3047025203705,790.8914024829865,543.3047025203705,247.3201401233673,0.2040925025939941,0.0
1600,0.33307788,0.20239851,0.0014229887,,,,,,,,,,,,,,
1700,0.070980914,0.3794027,0.0014222829,,,,,,,,,,,,,,
1800,0.07398156,0.24542743,0.0014215227,,,,,,,,,,,,,,
1881,,,,0.7377312523978097,0.2718157768249511,0.7154196168709552,0.2934839938823332,3554.0,0.7325387297978917,0.2951206781450712,3581.0,623.4418337345123,875.0802929401398,623.4418337345123,251.3338098526001,0.2285554409027099,0.0
1900,0.111166306,0.21597546,0.0014207081,,,,,,,,,,,,,,
2000,0.18495108,0.2934327,0.0014198391,,,,,,,,,,,,,,
2100,0.103257224,0.39961645,0.0014189157,,,,,,,,,,,,,,
2200,0.13384984,0.31399578,0.0014179382,,,,,,,,,,,,,,
2221,,,,0.7404022216796875,0.2698690550667899,0.7174059213650112,0.2916739253965602,3554.0,0.7345937107302429,0.2933007021650726,3581.0,703.544606924057,959.2363574504852,703.544606924057,255.34787917137143,0.2540822029113769,0.0
2300,0.12861644,0.28802532,0.0014169065,,,,,,,,,,,,,,
2400,0.20690396,0.28582862,0.0014158208,,,,,,,,,,,,,,
2500,0.23311794,0.21787255,0.001414681,,,,,,,,,,,,,,
2565,,,,0.7406172752380371,0.2695191587720598,0.717501956422341,0.2915118061295371,3554.0,0.7346560923755585,0.2931858244903658,3581.0,783.62078332901,1043.3688797950745,783.62078332901,259.3642826080322,0.2798726558685303,0.0
2600,0.3296879,0.34681356,0.0014134872,,,,,,,,,,,,,,
2700,0.10104662,0.27768508,0.0014122397,,,,,,,,,,,,,,
2800,0.10612836,0.2569561,0.0014109386,,,,,,,,,,,,,,
2900,0.07356864,0.3013403,0.0014095837,,,,,,,,,,,,,,
2910,,,,0.7425363404410226,0.2679113660539899,0.7195923332424733,0.2897871593846722,3554.0,0.7368926959342712,0.2912968537288816,3581.0,863.705837726593,1127.5051136016846,863.705837726593,263.37492656707764,0.3059074878692627,0.0
3000,0.19574109,0.25601348,0.0014081754,,,,,,,,,,,,,,
3100,0.23076634,0.24722573,0.0014067137,,,,,,,,,,,,,,
3200,0.09958943,0.27999085,0.0014051987,,,,,,,,,,,,,,
3253,,,,0.7417989458356585,0.2683504819869995,0.7192653469242403,0.2899528851184405,3554.0,0.7363943927150237,0.2914814079516895,3581.0,943.9046485424042,1211.7553029060364,943.9046485424042,267.3874888420105,0.3310942649841308,0.0
3300,0.11132005,0.23521957,0.0014036305,,,,,,,,,,,,,,
3400,0.0845622,0.24432534,0.0014020093,,,,,,,,,,,,,,
3500,0.08185766,0.27076554,0.0014003351,,,,,,,,,,,,,,
3598,,,,0.7431919234139579,0.2672715357371739,0.7200481906390687,0.289318318707794,3554.0,0.7373042102633691,0.2907700867534383,3581.0,1023.904091835022,1295.8084037303925,1023.904091835022,271.40258502960205,0.3558170795440674,0.0
3600,0.070266955,0.2798716,0.0013986082,,,,,,,,,,,,,,
3700,0.11222014,0.2247048,0.0013968286,,,,,,,,,,,,,,
3800,0.089132145,0.24407503,0.0013949963,,,,,,,,,,,,,,
3900,0.21536517,0.31675458,0.0013931117,,,,,,,,,,,,,,
3942,,,,0.7432670593261719,0.2675590685435703,0.7197242268834412,0.2897980818268149,3554.0,0.7369854161939752,0.2912495732140987,3581.0,1104.01952791214,1379.9749517440796,1104.01952791214,275.41456294059753,0.3812384605407715,0.0
4000,0.20579076,0.1788894,0.0013911749,,,,,,,,,,,,,,
4100,0.06409364,0.24320096,0.001389186,,,,,,,,,,,,,,
4200,0.20873013,0.27715158,0.0013871453,,,,,,,,,,,,,,
4286,,,,0.7441808155604771,0.266959582056318,0.7207363731886607,0.2892691333708497,3554.0,0.7379173911573234,0.2907965392981185,3581.0,1184.14923620224,1464.1603393554688,1184.14923620224,279.43035984039307,0.4075744152069092,0.0
4300,0.10634885,0.30692104,0.0013850525,,,,,,,,,,,,,,
4400,0.14276762,0.26073867,0.0013829083,,,,,,,,,,,,,,
4500,0.118767634,0.2707906,0.0013807125,,,,,,,,,,,,,,
4600,0.048043277,0.26172972,0.0013784656,,,,,,,,,,,,,,
4631,,,,0.7434067044939313,0.2672687768936157,0.7197850903031795,0.2896475032533764,3554.0,0.7369215346621055,0.2911369112808922,3581.0,1264.3996291160583,1548.4603250026703,1264.3996291160583,283.4411060810089,0.4329149723052978,0.0
4700,0.10089822,0.31027704,0.0013761674,,,,,,,,,,,,,,
4800,0.22138678,0.27447835,0.0013738184,,,,,,,,,,,,,,
4900,0.072588064,0.34557128,0.0013714185,,,,,,,,,,,,,,
4976,,,,0.7444913727896554,0.2662410395486014,0.7211365879554728,0.2884878352846264,3554.0,0.7383106341411267,0.2899525804048276,3581.0,1344.4717075824738,1632.584764957428,1344.4717075824738,287.454735994339,0.4579858779907226,0.0
5000,0.1042199,0.25738233,0.0013689679,,,,,,,,,,,,,,
5100,0.11106406,0.29551685,0.0013664672,,,,,,,,,,,,,,
5200,0.215436,0.24987751,0.0013639162,,,,,,,,,,,,,,
5300,0.15079795,0.24812748,0.0013613151,,,,,,,,,,,,,,
5315,,,,0.745276859828404,0.2657428639275687,0.7216690398362761,0.2880471765693145,3554.0,0.7390757126370078,0.2893990881780578,3581.0,1424.4359962940216,1716.6013507843018,1424.4359962940216,291.46678280830383,0.4842722415924072,0.0
5400,0.07623327,0.25885433,0.0013586645,,,,,,,,,,,,,,
5500,0.18085887,0.27906895,0.001355964,,,,,,,,,,,,,,
5600,0.040720016,0.25850177,0.0013532141,,,,,,,,,,,,,,
