global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.7948136,11.009181,0.0,,,,,,,,,,,,,,,,,
1,,,,0.0005610258667729,10.993905067443848,0.0,0.0004835649742744,10.987689018249512,1.8910854856658627e-10,3000.0,0.0007088489946909,10.991623878479004,0.0,3003.0,37.63664245605469,916.7693693637848,37.63664245605469,879.1326851844788,0.0,0.0
1,4.7502246,11.010885,6.633345e-07,,,,,,,,,,,,,,,,,
2,4.8369517,10.991007,1.326669e-06,,,,,,,,,,,,,,,,,
3,4.6193624,10.965077,1.99012e-06,,,,,,,,,,,,,,,,,
4,4.4245386,10.898873,2.6534544e-06,,,,,,,,,,,,,,,,,
5,4.2487354,10.827721,3.316789e-06,,,,,,,,,,,,,,,,,
6,4.048301,10.749346,3.9801234e-06,,,,,,,,,,,,,,,,,
7,3.7887845,10.683984,4.643458e-06,,,,,,,,,,,,,,,,,
8,3.488275,10.58491,5.3067924e-06,,,,,,,,,,,,,,,,,
9,3.2506938,10.496497,5.9702434e-06,,,,,,,,,,,,,,,,,
10,2.9143472,10.413238,6.633578e-06,,,,,,,,,,,,,,,,,
11,2.6442468,10.321293,7.2969124e-06,,,,,,,,,,,,,,,,,
12,2.3634207,10.239713,7.960247e-06,,,,,,,,,,,,,,,,,
13,2.1014073,10.171301,8.623581e-06,,,,,,,,,,,,,,,,,
14,1.9360981,10.081265,9.286916e-06,,,,,,,,,,,,,,,,,
15,1.7762051,10.006927,9.950367e-06,,,,,,,,,,,,,,,,,
16,1.6001154,9.949163,1.0613701e-05,,,,,,,,,,,,,,,,,
17,1.4427092,9.8915615,1.1277152e-05,,,,,,,,,,,,,,,,,
18,1.3284183,9.829024,1.1940487e-05,,,,,,,,,,,,,,,,,
19,1.2123783,9.785246,1.2603821e-05,,,,,,,,,,,,,,,,,
20,1.1116602,9.743997,1.3267156e-05,,,,,,,,,,,,,,,,,
21,1.0552794,9.672039,1.393049e-05,,,,,,,,,,,,,,,,,
22,0.9820808,9.663153,1.4593941e-05,,,,,,,,,,,,,,,,,
23,0.9214694,9.571693,1.5257276e-05,,,,,,,,,,,,,,,,,
24,0.8665218,9.577787,1.592061e-05,,,,,,,,,,,,,,,,,
25,0.8246239,9.508821,1.6583945e-05,,,,,,,,,,,,,,,,,
26,0.7568181,9.497557,1.724728e-05,,,,,,,,,,,,,,,,,
27,0.6959124,9.495233,1.7910614e-05,,,,,,,,,,,,,,,,,
28,0.64944744,9.417308,1.8574065e-05,,,,,,,,,,,,,,,,,
29,0.61335933,9.3975,1.92374e-05,,,,,,,,,,,,,,,,,
30,0.5640871,9.359257,1.9900734e-05,,,,,,,,,,,,,,,,,
31,0.534397,9.355366,2.0564068e-05,,,,,,,,,,,,,,,,,
32,0.5049998,9.321497,2.1227403e-05,,,,,,,,,,,,,,,,,
33,0.48195854,9.289208,2.1890737e-05,,,,,,,,,,,,,,,,,
34,0.45908165,9.281049,2.2554188e-05,,,,,,,,,,,,,,,,,
35,0.43105224,9.265655,2.3217523e-05,,,,,,,,,,,,,,,,,
36,0.4219512,9.265887,2.3880857e-05,,,,,,,,,,,,,,,,,
37,0.3875859,9.262363,2.4544192e-05,,,,,,,,,,,,,,,,,
38,0.36753592,9.230176,2.5207526e-05,,,,,,,,,,,,,,,,,
39,0.351281,9.213431,2.587086e-05,,,,,,,,,,,,,,,,,
40,0.3228868,9.196612,2.6534311e-05,,,,,,,,,,,,,,,,,
41,0.31812412,9.187389,2.7197646e-05,,,,,,,,,,,,,,,,,
42,0.30368558,9.148605,2.786098e-05,,,,,,,,,,,,,,,,,
43,0.27553514,9.170356,2.8524315e-05,,,,,,,,,,,,,,,,,
44,0.27483004,9.12083,2.918765e-05,,,,,,,,,,,,,,,,,
45,0.25473407,9.11875,2.9850984e-05,,,,,,,,,,,,,,,,,
46,0.23839247,9.145782,3.0514435e-05,,,,,,,,,,,,,,,,,
47,0.24713312,9.075903,3.117777e-05,,,,,,,,,,,,,,,,,
48,0.22193521,9.091207,3.1841104e-05,,,,,,,,,,,,,,,,,
49,0.21437316,9.065898,3.250444e-05,,,,,,,,,,,,,,,,,
50,0.20278628,9.082632,3.3167773e-05,,,,,,,,,,,,,,,,,
51,0.20476948,9.070091,3.3831107e-05,,,,,,,,,,,,,,,,,
52,0.19781972,9.041885,3.4494675e-05,,,,,,,,,,,,,,,,,
53,0.1798097,9.059454,3.515801e-05,,,,,,,,,,,,,,,,,
54,0.17833465,9.053453,3.5821344e-05,,,,,,,,,,,,,,,,,
55,0.1710514,9.078971,3.648468e-05,,,,,,,,,,,,,,,,,
56,0.17195092,9.034206,3.7148013e-05,,,,,,,,,,,,,,,,,
57,0.15907249,9.040498,3.7811347e-05,,,,,,,,,,,,,,,,,
58,0.17769115,9.057259,3.84748e-05,,,,,,,,,,,,,,,,,
59,0.17316985,9.002749,3.9138133e-05,,,,,,,,,,,,,,,,,
60,0.1571125,9.026068,3.9801467e-05,,,,,,,,,,,,,,,,,
61,0.15738188,8.998588,4.04648e-05,,,,,,,,,,,,,,,,,
62,0.15388624,9.017354,4.1128136e-05,,,,,,,,,,,,,,,,,
63,0.14480104,9.027268,4.179147e-05,,,,,,,,,,,,,,,,,
64,0.14682475,9.021428,4.245492e-05,,,,,,,,,,,,,,,,,
65,0.1513046,8.963031,4.3118256e-05,,,,,,,,,,,,,,,,,
66,0.13912955,8.981552,4.378159e-05,,,,,,,,,,,,,,,,,
67,0.13979875,8.9829035,4.4444925e-05,,,,,,,,,,,,,,,,,
68,0.15175682,8.959682,4.510826e-05,,,,,,,,,,,,,,,,,
69,0.1483511,8.989924,4.5771594e-05,,,,,,,,,,,,,,,,,
70,0.14782166,8.957995,4.6435045e-05,,,,,,,,,,,,,,,,,
71,0.1470736,8.947473,4.709838e-05,,,,,,,,,,,,,,,,,
72,0.1434657,8.963563,4.7761714e-05,,,,,,,,,,,,,,,,,
73,0.14405753,8.927868,4.842505e-05,,,,,,,,,,,,,,,,,
74,0.14586718,8.940866,4.9088383e-05,,,,,,,,,,,,,,,,,
75,0.16143894,8.9383,4.9751718e-05,,,,,,,,,,,,,,,,,
76,0.13904803,8.925231,5.041517e-05,,,,,,,,,,,,,,,,,
77,0.1410537,8.903819,5.1078503e-05,,,,,,,,,,,,,,,,,
78,0.13684055,8.913173,5.1741838e-05,,,,,,,,,,,,,,,,,
79,0.1356012,8.902696,5.2405172e-05,,,,,,,,,,,,,,,,,
80,0.13757554,8.918904,5.3068507e-05,,,,,,,,,,,,,,,,,
81,0.14231512,8.902502,5.373184e-05,,,,,,,,,,,,,,,,,
82,0.13610224,8.911591,5.4395292e-05,,,,,,,,,,,,,,,,,
83,0.14036782,8.865073,5.5058626e-05,,,,,,,,,,,,,,,,,
