accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/bleu,test/loss,test/num_examples,total_duration,train/accuracy,train/bleu,train/loss,validation/accuracy,validation/bleu,validation/loss,validation/num_examples
834.3453469276428,0.0,74.23922538757324,1,0,74.23922538757324,0.0,0.0,10.361610307361572,3003.0,909.1610178947448,0.0,0.0,10.353312991037486,0.0,0.0,10.33881167003509,3000.0
1401.7338314056396,0.0298545360565185,913.0354926586152,2112,0,913.0354926586152,0.3815931671605369,7.862712416533127,4.3112987333681945,3003.0,2317.3562200069427,0.4173851152004959,14.529417150023752,3.955838374909596,0.3991766996069484,9.610284328531916,4.076769816865259,3000.0
1854.816219091416,0.070646047592163,1751.6905355453491,4219,0,1751.6905355453491,0.5502062634361745,19.45392585647873,2.6455738699087794,3003.0,3611.095192193985,0.5489739019150783,24.92909780940446,2.6382857848850496,0.5483131021314057,20.75030234657713,2.608271673630829,3000.0
2265.501582622528,0.0975732803344726,2590.6208157539368,6326,0,2590.6208157539368,0.5905176921736099,21.774526974527184,2.218711507175644,3003.0,4862.58846116066,0.6303576707064735,30.19305328607086,1.9345436884649487,0.5864279426169545,23.252616991259075,2.2238681169483328,3000.0
2671.420953989029,0.1265985965728759,3429.57397198677,8432,0,3429.57397198677,0.6140723955609785,23.30958664039112,2.0028473795828248,3003.0,6109.290418624878,0.597284132163044,28.345061771889632,2.1215286952575707,0.6102342190425413,24.52934648224688,2.030931304323567,3000.0
3081.837495803833,0.1534860134124755,4268.502130270004,10539,0,4268.502130270004,0.6262274127011794,24.578655589305605,1.8812002498402185,3003.0,7360.516595840454,0.6027667757304402,28.823290569879457,2.053605921014867,0.619806326021996,25.54249967285903,1.9217856877162087,3000.0
3497.3576321601868,0.1818561553955078,5107.243980407715,12646,0,5107.243980407715,0.6355470338736854,25.04919936181486,1.7998313215385509,3003.0,8616.620433568954,0.6491363160979646,31.65857629470419,1.704535382020664,0.6278781416225465,25.74482199606438,1.8351178999640425,3000.0
3912.045376777649,0.2097392082214355,5946.03288435936,14754,0,5946.03288435936,0.6451571669281274,25.854340253391847,1.7187770539190053,3003.0,9871.849401712418,0.6213085612707151,29.96163091890241,1.8985266500372728,0.6391985220270052,27.055131175762167,1.7657183807392345,3000.0
4284.515075206757,0.2381043434143066,6785.102659225464,16863,0,6785.102659225464,0.6536517343559352,26.3210114065028,1.6671238597408633,3003.0,11085.173355579376,0.6256500529246629,30.66056989944319,1.8677606108196416,0.6447161225527271,26.9139346740702,1.717237696990738,3000.0
4660.074371099472,0.268998384475708,7623.75236082077,18970,0,7623.75236082077,0.6575445935738772,26.653366612388023,1.6291873656382545,3003.0,12301.237337589264,0.6541841672753835,32.12193156799337,1.657006318765979,0.6506180952499039,27.49875449216525,1.681013913342674,3000.0
5164.680652141571,0.2965512275695801,8462.47998714447,21078,0,8462.47998714447,0.6649119748997734,27.02115029315185,1.5988303265353554,3003.0,13646.393637180328,0.6355512217506023,31.06059121920559,1.7889321871056556,0.6525895525163978,27.82974649139801,1.6623658572119375,3000.0
5931.498540878296,0.3252778053283691,9301.376437664032,23189,0,9301.376437664032,0.3340770437510894,1.0403701589484968,3.994874280983092,3003.0,15253.94585776329,0.3894132783768089,4.184442269490171,3.4095384249718195,0.3488983397602013,1.4260122972036504,3.8027531431724335,3000.0
6389.834106683731,0.3534326553344726,10140.10038113594,25298,0,10140.10038113594,0.652640753006798,26.47577784621172,1.672570231247458,3003.0,16552.83859682083,0.6473827630633815,31.03594114818103,1.6936679084907704,0.6434266159130079,26.93184635727725,1.7220748967774733,3000.0
6888.117640733719,0.3854374885559082,10978.72956609726,27407,0,10978.72956609726,0.6612050432862704,26.89480694653729,1.6082953852187554,3003.0,17891.625764608383,0.6344352554144201,30.887669746101647,1.7943882147834231,0.6519571982988431,27.54144932920013,1.6658476801279587,3000.0
7374.290794610977,0.4131996631622314,11817.58227944374,29517,0,11817.58227944374,0.6655975829411422,27.75090171452221,1.5776719830341062,3003.0,19218.42524528504,0.6368191146627532,30.938774608150386,1.777414556127538,0.6550693729773964,27.66198110260839,1.6396673630829128,3000.0
7813.577795743942,0.4412376880645752,12656.644931793213,31628,0,12656.644931793213,0.6691766893265935,27.71061309831231,1.5619369516588228,3003.0,20498.498317956924,0.6560436537050623,32.28692126928546,1.639209593383162,0.6566192607655206,28.09586356921806,1.6226301247039714,3000.0
8297.271353960037,0.4706845283508301,13495.703848361967,33738,0,13495.703848361967,0.6701760502004532,27.610018762804668,1.5535987159374818,3003.0,21823.05429148674,0.6400855449509141,31.459422972438706,1.7515245159657364,0.6590370857149942,28.11027917911362,1.6104725142899654,3000.0
8696.858222961426,0.4985344409942627,14334.573406934738,35848,0,14334.573406934738,0.6719307419673465,27.846050907109746,1.5478084509906456,3003.0,23063.3232049942,0.6404343638198331,30.95531294882017,1.758651012521787,0.6606117717077283,28.455065670094108,1.610623434613334,3000.0
9181.828126192093,0.5261404514312744,15173.492017745972,37958,0,15173.492017745972,0.6696879902388008,27.57732253893572,1.5467802204985184,3003.0,24389.10247993469,0.657053485494294,32.17956178528909,1.6264302686305514,0.661219327720673,28.57872092715324,1.6039500052696185,3000.0
9680.263256788254,0.5579307079315186,16012.4708340168,40068,0,16012.4708340168,0.6724071814537215,27.79043229326195,1.5418985314624367,3003.0,25728.33697128296,0.6443565352602213,31.308139024672307,1.7179257323012898,0.6605373770938984,28.051775972940405,1.6048880748533807,3000.0
