accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,total_duration,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples
151.39385890960693,0.0,14.381870746612549,1,0,14.381870746612549,0.5106724415265949,0.7784013155594792,0.0272975741547209,43793.0,166.19621181488037,0.5064424929961333,0.7792921092889022,0.0204810373618372,0.5099086065111265,0.778617550683726,0.0256382625006396,43793.0
218.42390751838684,0.0346474647521972,253.9014792442321,716,0,253.9014792442321,0.9831437887051592,0.0646431241125954,0.0534151215435068,43793.0,473.8915052413941,0.986688913498216,0.0518174972314507,0.0516021025745175,0.984120817694468,0.0613672605376116,0.0510035611810161,43793.0
286.9024815559387,0.076920747756958,493.39382815361023,1429,0,493.39382815361023,0.9834916955149926,0.0599047497176942,0.0949465812293596,43793.0,783.0783245563507,0.987272636739742,0.0468637202788573,0.0941640621537162,0.9844918474929508,0.0565815875853591,0.0971413997344371,43793.0
357.30535340309143,0.1062335968017578,732.761791229248,2139,0,732.761791229248,0.9838973059966752,0.0566827946499008,0.1343477973168738,43793.0,1094.113710641861,0.9875744841551216,0.0443843354130053,0.138105126967352,0.9848612535286396,0.0536927169468875,0.130165287661008,43793.0
428.6516664028168,0.1377370357513427,972.2266643047332,2846,0,972.2266643047332,0.9842123596210764,0.0546262918567483,0.1552999684878319,43793.0,1406.252488613129,0.987818996325565,0.0425419985284957,0.1684537626495839,0.9851770753921184,0.0518173692333079,0.1526914278000329,43793.0
501.3990795612335,0.1679742336273193,1211.5721809864044,3550,0,1211.5721809864044,0.9844457014765822,0.0531621566105031,0.1681622303020256,43793.0,1719.7243738174438,0.9881032380686934,0.0410292628062422,0.1974426781260013,0.9854246992182394,0.0504032430957606,0.1671897207578298,43793.0
577.0944464206696,0.1978006362915039,1450.8256213665009,4256,0,1450.8256213665009,0.9846592471818916,0.0520188927402462,0.1840299672116441,43793.0,2036.105360746384,0.9884194159964542,0.0396743458577877,0.2120870859087253,0.9856329467966002,0.0492017823130825,0.1845895926318696,43793.0
653.0746722221375,0.2270140647888183,1690.1787266731262,4960,0,1690.1787266731262,0.9848542603210598,0.0510471143372986,0.1986522502495112,43793.0,2352.9144966602325,0.9887059228395232,0.0386473263363617,0.2421525721615693,0.9858501250703292,0.0481622633264242,0.200475403487789,43793.0
729.6472148895264,0.2583825588226318,1929.415688753128,5665,0,1929.415688753128,0.9850720179732196,0.0501783673935925,0.2110821201833458,43793.0,2670.266594171524,0.9891926059389368,0.036824617104638,0.2707835454058083,0.9860392934358576,0.0473437124504853,0.2144709209310561,43793.0
806.1296191215515,0.2913875579833984,2168.510276079178,6366,0,2168.510276079178,0.9852455501834514,0.0494675980720234,0.2209785173869647,43793.0,2987.425701856613,0.9893289568020296,0.0363603599200916,0.2889283609464258,0.9861996400117884,0.0466397129654211,0.2264831083958612,43793.0
882.8884978294373,0.321392297744751,2407.641214609146,7068,0,2407.641214609146,0.985403919385022,0.0488725947677511,0.2289619518076125,43793.0,3304.9478573799133,0.9895672213085318,0.0352521182367825,0.3155269839363975,0.986344560841174,0.0460425329694886,0.234274878946577,43793.0
959.3199136257172,0.3514015674591064,2646.9406168460846,7772,0,2646.9406168460846,0.9855542858875772,0.0483933081220234,0.2356995971484685,43793.0,3622.352205038071,0.9897287201219704,0.0345270204344887,0.3269270197188832,0.9864667489914404,0.0456031211917688,0.2400732366063283,43793.0
1036.4401276111605,0.3815939426422119,2886.1808326244354,8477,0,2886.1808326244354,0.9856482123023386,0.048004565171243,0.2426205686347236,43793.0,3940.423973321914,0.990014605719344,0.0336883498487791,0.3460899668936117,0.9865990856591704,0.0452085722040631,0.2495672401271183,43793.0
1112.639642715454,0.4121503829956054,3125.2752029895782,9181,0,3125.2752029895782,0.985757722920446,0.0476909462412375,0.2468981027998297,43793.0,4257.46608042717,0.9903926151544824,0.0325689592180172,0.3627707751490787,0.9866701252814184,0.044888513334543,0.2531191917481578,43793.0
1189.4667320251465,0.4445061683654785,3364.521681070328,9888,0,3364.521681070328,0.9858642851757582,0.0474342906017987,0.2509405316905089,43793.0,4575.324006557465,0.990549064903787,0.0318786832469096,0.3792754897010462,0.9867655213455796,0.0446318002424683,0.2570618682408138,43793.0
1266.8314669132233,0.4755992889404297,3603.709950685501,10591,0,3603.709950685501,0.985917355706072,0.0472552631171607,0.2526018181293326,43793.0,4893.6971044540405,0.9907319184602336,0.0312443983298652,0.4155662623805011,0.9868389966120188,0.0444302887425743,0.2589339807756449,43793.0
1344.6649732589722,0.5082287788391113,3842.6537408828735,11298,0,3842.6537408828735,0.9859611599533148,0.0471175982668259,0.2558054187539621,43793.0,5212.313077449799,0.9909253714648512,0.0305128716667021,0.4152093111400552,0.986910848115664,0.0442451258700324,0.2635898883804631,43793.0
1422.2593059539795,0.539423942565918,4081.87150144577,12006,0,4081.87150144577,0.9860032794218176,0.0470109603280938,0.2582335720148336,43793.0,5531.000389099121,0.9909964476570956,0.0301777453837576,0.4272972262927762,0.9869804669454668,0.0440613837899354,0.2692776502541636,43793.0
1500.1481359004974,0.5731182098388672,4320.88149356842,12710,0,4320.88149356842,0.9860786732704376,0.0469342765707508,0.2605863728485749,43793.0,5849.79793715477,0.9912929145878632,0.0292272648489202,0.4340768620482118,0.9870306006217388,0.0439745219946789,0.2724462078913842,43793.0
